# mu	p(mu)	err
1.000000000000000000e+00 1.335358961255381560e+00 3.898962149493159779e-02
1.804721766827170226e+00 1.823003907057961226e-01 1.072355239445859504e-02
2.424462017082328114e+00 7.278071648310673047e-02 5.845887825060402075e-03
3.257020655659783159e+00 3.670023112882228600e-02 3.581575823584569936e-03
4.375479375074184496e+00 2.289586439391518013e-02 2.440707345181815282e-03
5.878016072274911963e+00 2.362811492352750661e-02 2.139189012179928615e-03
7.896522868499724623e+00 1.859746825033790560e-02 1.637415777637202165e-03
1.060818355139448244e+01 1.416553295077113868e-02 1.232951385716719774e-03
1.425102670302997687e+01 6.550398350596841300e-03 7.233704862545668659e-04
1.914481976169957633e+01 2.913699846376112922e-03 4.162428351965875525e-04
2.571913809059344302e+01 2.744323422780123745e-03 3.485294232226731985e-04
3.455107294592217926e+01 1.614487008431556838e-03 2.306410012045081081e-04
4.641588833612777165e+01 7.112648458945659532e-04 1.320785660918401164e-04
6.235507341273912374e+01 4.746806913115145460e-04 9.309254260473560677e-05
8.376776400682915380e+01 1.902615917093793292e-04 5.084954928848334411e-05
1.125335582600764610e+02 1.315107680410030765e-04 3.647452441903750248e-05
1.511775070615661605e+02 7.530309626297405326e-05 2.381292990539117914e-05
2.030917620904734804e+02 3.923789904086557527e-05 1.483053183297001958e-05
2.728333376486766610e+02 2.920791911140607002e-05 1.103955575463873098e-05
3.665241237079625876e+02 1.552985687802114429e-05 6.945163132019587319e-06
6.614740641230146139e+02 3.442050107330117968e-06 2.433896972077009831e-06
8.886238162743397879e+02 3.843291444106082403e-06 2.218925349828832321e-06
1.193776641714435755e+03 2.860870443244128911e-06 1.651724320523641827e-06
