# s	p(s)	error
1.000000000000000000e+00 1.219413313017783995e+00 3.792195013059021513e-02
1.811609194200414219e+00 2.076617742680882117e-01 1.162682722245077238e-02
2.438354098268828540e+00 8.512287571417669063e-02 6.416378177726818864e-03
3.281927872511474220e+00 3.629298881876154986e-02 3.611287361854304684e-03
4.417344703140069662e+00 2.109095253717744797e-02 2.372917551858337235e-03
5.945570708544391181e+00 3.173633908314400093e-02 2.508977902453872390e-03
8.002502278161049531e+00 1.149474098557961600e-02 1.301523123141241304e-03
1.077105056036769071e+01 1.127741477034798455e-02 1.111196695522631735e-03
1.449740670372631612e+01 8.460059356715005432e-03 8.295770720392892095e-04
1.951293422635963282e+01 3.807574084321758111e-03 4.797092440747546946e-04
2.626363527653332852e+01 2.694181223330634287e-03 3.478173003208090679e-04
3.534981105030105653e+01 1.734788922314739251e-03 2.405719389043349196e-04
4.757944314009409226e+01 7.188016021585793246e-04 1.334781065950440963e-04
6.404004271197280218e+01 5.892895758918542800e-04 1.041726637989186959e-04
8.619535664753031767e+01 2.873199731364372818e-04 6.269835836049534640e-05
1.160155301739971492e+02 1.016516106540759501e-04 3.214506174915183741e-05
1.561523006000496423e+02 4.531408935157093534e-05 1.849939951170557494e-05
2.101748011332487067e+02 2.805561237475980607e-05 1.254685128406944568e-05
2.828869434625969461e+02 2.501317033311430151e-05 1.021158402757532888e-05
3.807546021222372019e+02 6.194627950570265684e-06 4.380263430775960025e-06
5.124805876960931528e+02 9.204770511281721269e-06 4.602385255640860635e-06
6.897785379387657940e+02 3.419406332448191311e-06 2.417885405306338004e-06
