# s	p(s)	error
1.000000000000000000e+00 1.212709804501133526e+00 3.755041443309255905e-02
1.811609194200414219e+00 1.816328927522613823e-01 1.079695476789218657e-02
2.438354098268828540e+00 8.106338363889142862e-02 6.217277712853247137e-03
3.281927872511474220e+00 4.251329772020003700e-02 3.880915359214418599e-03
4.417344703140069662e+00 2.553189350416167069e-02 2.592371015805051276e-03
5.945570708544391181e+00 3.637407652669495672e-02 2.667076692102871103e-03
8.002502278161049531e+00 1.075173356188768511e-02 1.249863638972116900e-03
1.077105056036769071e+01 1.198222566698030518e-02 1.137302529872517799e-03
1.449740670372631612e+01 6.255713641384295920e-03 7.083200888324498812e-04
1.951293422635963282e+01 4.647769721822939473e-03 5.262562916012729786e-04
2.626363527653332852e+01 2.390625245593341192e-03 3.253228898844113984e-04
3.534981105030105653e+01 1.480123647709513050e-03 2.206438060922281182e-04
4.757944314009409226e+01 8.797428103318502123e-04 1.466238017219750444e-04
6.404004271197280218e+01 5.265249618465545544e-04 9.777323084875528679e-05
8.619535664753031767e+01 2.428070063753848067e-04 5.723016024254662772e-05
1.160155301739971492e+02 2.305070895978368205e-04 4.806405072349458378e-05
1.561523006000496423e+02 9.679825885016790730e-05 2.684700658922432976e-05
2.101748011332487067e+02 1.659637311276016539e-05 9.581920484223548814e-06
2.828869434625969461e+02 3.288135182969329439e-05 1.162531342667840954e-05
3.807546021222372019e+02 1.221482953085094169e-05 6.107414765425470844e-06
5.124805876960931528e+02 1.361276700914209697e-05 5.557388859965135458e-06
6.897785379387657940e+02 8.428162631567294083e-06 3.769188913921596588e-06
