# mu	p(mu)	err
-1.013461178167157414e+03 6.024866848376148199e-07 4.260224204232797177e-07
-9.479708168030629167e+02 6.024866848376231843e-07 4.260224204232855939e-07
-8.169900940748757421e+02 9.037300272564347765e-07 5.217687745112504978e-07
-6.860093713466885674e+02 2.108703396931681463e-06 7.970149681540502361e-07
-6.205190099825949801e+02 9.037300272564347765e-07 5.217687745112504978e-07
-5.550286486185013928e+02 4.518650136282111096e-06 1.166710448343899380e-06
-4.895382872544068960e+02 3.614920109025739106e-06 1.043537549022500996e-06
-4.240479258903133086e+02 6.928596875632667361e-06 1.444712317760224575e-06
-3.585575645262197213e+02 9.338543614983160098e-06 1.677251946459260820e-06
-2.930672031621261340e+02 2.289449402382968228e-05 2.626178574036038225e-06
-2.275768417980325466e+02 4.819893478700985136e-05 3.810460368021844980e-06
-1.620864804339389593e+02 1.328483140066959156e-04 6.326110190795043965e-06
-9.659611906984537200e+01 6.470706995156073546e-04 1.396158086691331933e-05
-3.110575770575178467e+01 6.137230615098363332e-03 4.299767277059613174e-05
3.438460365834271215e+01 7.596152122432752417e-03 4.783607691777610424e-05
9.987496502243629948e+01 5.497690999143311228e-04 1.286912122939148845e-05
1.653653263865298868e+02 6.627353533213855663e-05 4.468160840588062879e-06
2.308556877506234741e+02 1.626714049061582661e-05 2.213677432009798857e-06
2.963460491147170615e+02 7.229840218051478212e-06 1.475784954673199520e-06
3.618364104788106488e+02 2.711190081769304435e-06 9.037300272564347765e-07
4.273267718429042361e+02 2.711190081769266742e-06 9.037300272564222828e-07
4.928171332069987329e+02 2.409946739350492737e-06 8.520448408465711879e-07
5.583074945710923203e+02 9.037300272564347765e-07 5.217687745112504978e-07
6.237978559351859076e+02 1.204973369675246369e-06 6.024866848376231843e-07
6.892882172992794949e+02 6.024866848376231843e-07 4.260224204232855939e-07
