# s	p(s)	error
1.000000000000000000e+00 1.269583100898349137e+00 3.888503826450181999e-02
1.811609194200414219e+00 2.024837282365110624e-01 1.153758119676473459e-02
2.438354098268828540e+00 6.349660516352052808e-02 5.569020675743780423e-03
3.281927872511474220e+00 3.338587195502813049e-02 3.480717764243607994e-03
4.417344703140069662e+00 2.696141231223729215e-02 2.696141231223729388e-03
5.945570708544391181e+00 3.886083337453768299e-02 2.790045237193381801e-03
8.002502278161049531e+00 1.309666726726937437e-02 1.396109421626452697e-03
1.077105056036769071e+01 9.730351654673020587e-03 1.037258971584143537e-03
1.449740670372631612e+01 6.736393654841746174e-03 7.439102315450870024e-04
1.951293422635963282e+01 4.089367586903068681e-03 4.995957658606325381e-04
2.626363527653332852e+01 1.995270428848158750e-03 3.007983348991297113e-04
3.534981105030105653e+01 1.448722773363105270e-03 2.209281517461596201e-04
4.757944314009409226e+01 5.506900812922852417e-04 1.174075198214445518e-04
6.404004271197280218e+01 5.021298962684800360e-04 9.663494359292193448e-05
8.619535664753031767e+01 2.072580064033809316e-04 5.351378714456296430e-05
1.160155301739971492e+02 1.334538636287936262e-04 3.701344217095339556e-05
1.561523006000496423e+02 9.152437824532373397e-05 2.642081220867539503e-05
2.101748011332487067e+02 5.666609470995985482e-05 1.791939253902916001e-05
2.828869434625969461e+02 3.789077903984126096e-05 1.263025967994708699e-05
3.807546021222372019e+02 6.255885087287894967e-06 4.423578767545066592e-06
5.124805876960931528e+02 1.394369129984641620e-05 5.692488135918139641e-06
6.897785379387657940e+02 3.453219992101572722e-06 2.441795273343978141e-06
1.249609141291986816e+03 2.859242492660550239e-06 1.650784422815985341e-06
