# gamma	CrltnCoeff
0.000000000000000000e+00 -3.811240873626553505e-02
1.599999896967889759e-02 -6.808234416926634003e-02
3.199999908926973863e-02 -4.430255105131870180e-02
4.799999805894863275e-02 -9.902031518402905352e-02
6.399999702862753381e-02 -1.013474855452028978e-01
7.999999714821838526e-02 -1.361689715142062052e-01
9.599999611789726550e-02 -1.425971939817334277e-01
1.119999950875761735e-01 -2.121391285048302433e-01
1.279999940572550676e-01 -2.310476052900783672e-01
1.439999941768459191e-01 -2.645072887571326969e-01
1.599999942964367705e-01 -2.777738335553747717e-01
1.759999921162037073e-01 -2.906376969288286816e-01
1.919999922357945310e-01 -2.741737112778899754e-01
