# gamma	ratio
0.000000000000000000e+00 1.324404761904761918e-01
7.999999926925625490e-03 8.096497025776602449e-03
1.599999985385125098e-02 1.467194197164523560e-02
2.400000092256399098e-02 9.865478392466789925e-01
3.199999970770249502e-02 1.969621098314137952e-02
3.999999849284100600e-02 2.621342803991205672e-02
4.800000070334085878e-02 3.358778625954198654e-02
5.599999948847936976e-02 4.608059853766366398e-02
6.399999941540499004e-02 6.848381601362861504e-02
7.199999820054349409e-02 9.257340241796199742e-02
7.999999698568201201e-02 1.340567028351417611e-01
8.799999691260763923e-02 1.455787203450754907e-01
9.600000140668171755e-02 1.645818441744102967e-01
1.040000001918202216e-01 7.866131679737370375e-01
1.120000001187458488e-01 2.512896094325718366e-01
1.199999989038843667e-01 2.998346500091861322e-01
1.279999988308099801e-01 6.579442771084337283e-01
1.359999987577356073e-01 6.439605434580308874e-01
1.439999964010869882e-01 6.179733032524911129e-01
1.519999963280126154e-01 3.901336848051214501e-01
1.599999951131511611e-01 6.021012416427888869e-01
1.679999950400767328e-01 5.911664779161948102e-01
1.759999938252152785e-01 5.816307403936269438e-01
1.839999926103537964e-01 5.576201201201200774e-01
1.920000028133634351e-01 4.445284445284445329e-01
1.999999913224179415e-01 4.533025226266127472e-01
