# mu	p(mu)	err
-1.531939246341649778e+03 6.215299806220108241e-07 4.394880640085673064e-07
-1.278004138222917391e+03 9.322949709330162362e-07 5.382607524323112483e-07
-1.024069030104185003e+03 6.215299806220108241e-07 4.394880640085673064e-07
-8.971014760448188099e+02 9.322949709330162362e-07 5.382607524323112483e-07
-7.701339219854526164e+02 1.864589941866032472e-06 7.612156561829215838e-07
-7.066501449557699743e+02 1.864589941866005579e-06 7.612156561829105723e-07
-6.431663679260864228e+02 2.796884912799048708e-06 9.322949709330162362e-07
-5.796825908964037808e+02 2.486119922488007298e-06 8.789761280171219073e-07
-5.161988138667202293e+02 7.769124757775134878e-06 1.553824951555027060e-06
-4.527150368370375872e+02 6.215299806220018456e-06 1.389783286724923146e-06
-3.892312598073540357e+02 1.460595454461725310e-05 2.130497435469229875e-06
-3.257474827776713937e+02 1.584901450586104774e-05 2.219305936402825166e-06
-2.622637057479878422e+02 3.977791875980869274e-05 3.515904512068538451e-06
-1.987799287183052002e+02 7.178671276184122739e-05 4.723218933724351142e-06
-1.352961516886216486e+02 2.554488220356464462e-04 8.909800822962622908e-06
-7.181237465893900662e+01 1.430451250401537514e-03 2.108397896440311441e-05
-8.328597629255455104e+00 9.437621990754922752e-03 5.415609390009479322e-05
5.515517940042718692e+01 4.058280008471361680e-03 3.551297435462047306e-05
1.186389564301107384e+02 2.914975609117230384e-04 9.517732749579244805e-06
1.821227334597933805e+02 5.345157833349216007e-05 4.075644638939390801e-06
2.456065104894769320e+02 1.957819438959333799e-05 2.466620641644951681e-06
3.090902875191595740e+02 1.336289458337304002e-05 2.037822319469695400e-06
3.725740645488431255e+02 4.972239844976086593e-06 1.243059961244021648e-06
4.360578415785257675e+02 3.729179883732011158e-06 1.076521504864607038e-06
4.995416186082093191e+02 2.486119922488043296e-06 8.789761280171346128e-07
5.630253956378919611e+02 9.322949709330027895e-07 5.382607524323035192e-07
6.265091726675755126e+02 2.175354932177037884e-06 8.222068805483173683e-07
6.899929496972581546e+02 6.215299806220018244e-07 4.394880640085609537e-07
7.534767267269417061e+02 6.215299806220108241e-07 4.394880640085673064e-07
8.804442807863078997e+02 1.243059961244021648e-06 6.215299806220108241e-07
1.070895611875356735e+03 6.215299806220018244e-07 4.394880640085609537e-07
1.261346942964406480e+03 6.215299806220108241e-07 4.394880640085673064e-07
