# gamma	percentage
0.000000000000000000e+00 8.370454400470448419e-01
7.000000411668475496e-03 8.300617474602398627e-01
1.399999967342500928e-02 8.254059524023700245e-01
2.099999893518154220e-02 8.343849857282619187e-01
2.799999934685001857e-02 8.303943042500877558e-01
3.499999860860655149e-02 8.352163777028817071e-01
4.199999787036308441e-02 8.322233665942510017e-01
4.899999828203155383e-02 8.285652419059245100e-01
5.599999869370003713e-02 8.264036227719135930e-01
6.299999795545656311e-02 8.104408968592166085e-01
6.999999721721311685e-02 8.077804425404336852e-01
7.699999647896962895e-02 8.096095048845970421e-01
8.399999689063808450e-02 7.981362956348460047e-01
9.099999730230658168e-02 7.776840530592031842e-01
9.799999541415117810e-02 7.647143382551367941e-01
1.050000004254674074e-01 7.628852759109737702e-01
1.119999950875761735e-01 7.505806746866031665e-01
1.190000000988924306e-01 7.347842271688302951e-01
1.259999959109131262e-01 7.239761314987749330e-01
1.329999997723174399e-01 7.151633765678069299e-01
1.399999932845142347e-01 7.028587753434363261e-01
1.469999994457424353e-01 6.968727531261749153e-01
1.539999929579392579e-01 6.963739179414032421e-01
1.609999979692554872e-01 6.769193457353038790e-01
1.679999926313642533e-01 6.710996019129664703e-01
1.749999976426805104e-01 6.742588914165210667e-01
1.819999923047892765e-01 6.602915062429112192e-01
1.889999973161055058e-01 6.559682679748891632e-01
1.959999908283023562e-01 6.626194037718461383e-01
