# r	c(r)	err
2.122331485148514663e+00 -8.715309394169989954e-02 9.950371902099891530e-02
2.244304874255691473e+00 8.542348937914900908e-02 1.871530649021722892e-02
2.360658487078037382e+00 3.568118741782691505e-02 9.175084207588951254e-03
2.485018720932932634e+00 1.458047600122323872e-02 7.616961444546905581e-03
2.612131218822299150e+00 1.016651044980462423e-02 8.639006612820852513e-03
2.740483323799639326e+00 -1.414499391792023355e-03 1.217341599164958529e-02
2.871268122656875921e+00 1.791099251221779765e-05 2.018657877180250401e-02
3.003761228985462051e+00 1.473480395956740067e-02 3.806934938134404894e-02
3.131840713450321445e+00 5.512469503773979873e-02 7.647191129018725275e-02
3.280710727272724725e+00 6.862843058162194226e-03 1.507556722888818146e-01
3.436244488722002277e+00 9.769584050077971538e-02 8.671099695241199501e-02
3.562776384051334677e+00 4.609601536169848079e-02 3.027524209883362960e-02
3.692374069138564696e+00 5.289086950355217920e-02 1.669684100606528762e-02
3.822681883227639243e+00 2.130350669391372145e-02 1.045645328318848058e-02
3.951475951024586042e+00 2.170479517818679066e-02 7.751937984496123923e-03
4.080447294551861503e+00 2.704573340674999021e-02 6.900984219544327794e-03
4.210407587374012550e+00 4.877302638750534262e-03 7.283570407292297606e-03
4.341879433604146854e+00 2.588284655227165998e-02 8.262769908432950061e-03
4.476766556052997892e+00 1.995609576685595729e-02 9.279169098743650715e-03
4.613259396104430365e+00 3.861950182159716582e-02 9.104085692427790061e-03
4.747238990468764186e+00 3.072196655661791134e-02 8.052218863120533254e-03
4.878762957213360174e+00 8.806683343178668688e-03 7.245615917297824025e-03
5.009771310983506254e+00 1.662772978199942436e-02 7.065770469772050984e-03
5.141065545738443987e+00 1.502314347496177573e-02 7.337683423167640911e-03
5.273022409494564577e+00 1.342586936397959646e-02 8.171232824386691351e-03
5.405712187516884981e+00 9.856375766366847271e-03 9.476651050474804022e-03
5.541846359722455873e+00 -7.454326471303878571e-03 1.010049483536327314e-02
5.678049600983536394e+00 4.995999193941479295e-03 9.288370855344153798e-03
5.812242945895955692e+00 2.558962357244806002e-02 7.723447057809360201e-03
5.943315164287866992e+00 1.396631631571372892e-02 6.606599457191371892e-03
6.074726687223851229e+00 2.215627859428321005e-03 5.897780817188983185e-03
6.207257227723766313e+00 1.007763898405162652e-02 5.585633458763165048e-03
6.339025132579562793e+00 1.784006597369798552e-02 5.412288805617630240e-03
6.471232037827030048e+00 9.025437160467515013e-03 5.442584909902269293e-03
6.603699829960890888e+00 3.280119101233769374e-03 5.570879355273487647e-03
6.736965012767491601e+00 1.111417893020639688e-02 5.728989503389421596e-03
6.870446729646359607e+00 6.438807723721185795e-03 5.916227690640749916e-03
7.003489626407977120e+00 1.776856081116391000e-03 5.923592701181509650e-03
7.136861816897836164e+00 4.916141509630336803e-03 5.820351048763104315e-03
7.269818455374279509e+00 -2.674099491510531588e-03 5.636777978065968427e-03
7.402440995588976058e+00 2.757491150142807844e-03 5.534584364585039620e-03
7.534867109162368237e+00 -1.435528532504971692e-03 5.475528424257752533e-03
7.667748259683484946e+00 8.047385685650743428e-03 5.454311059437231927e-03
7.801296001776754530e+00 -7.291365487383696508e-04 5.396818326168578532e-03
7.934471963252124560e+00 2.098522375224317997e-03 5.171568332312705650e-03
