# r	g(r)	err
2.818181818181818343e+00 1.648175328971314135e+00 1.557796621954881354e-02
2.838383838383838231e+00 1.506355715289984021e+00 1.478668108993053468e-02
2.858585858585858563e+00 1.329441880554810718e+00 1.379308774396486789e-02
2.878787878787878896e+00 1.236910451850810500e+00 1.321105577691621472e-02
2.898989898989898784e+00 1.108138313954986964e+00 1.241733349503613970e-02
2.919191919191919560e+00 9.921312399478950939e-01 1.166809552965474700e-02
2.939393939393939448e+00 9.179062362873895431e-01 1.114600998451668358e-02
2.959595959595959780e+00 8.314571574240219309e-01 1.053575284880688308e-02
2.979797979797980112e+00 7.804482806629692293e-01 1.013825719700081097e-02
3.000000000000000000e+00 6.883757589922411269e-01 9.457352820942715316e-03
3.020202020202020332e+00 6.384302832494163082e-01 9.046879541129792743e-03
3.040404040404040664e+00 5.927830897491623841e-01 8.659536835772883856e-03
3.060606060606060552e+00 5.587677520076014259e-01 8.351919407745902330e-03
3.080808080808080884e+00 5.209089423488272308e-01 8.011140041419749502e-03
3.101010101010101216e+00 4.475046791804599966e-01 7.376896180121037851e-03
3.121212121212121104e+00 4.314074363361745656e-01 7.196123209015363627e-03
3.141414141414141437e+00 3.988594137592149091e-01 6.874843096450666304e-03
3.161616161616161769e+00 3.848874371961397700e-01 6.710204978577976459e-03
3.181818181818181657e+00 3.816325806267421017e-01 6.639347878592762216e-03
3.202020202020201989e+00 3.636020317272353752e-01 6.439722377745670835e-03
3.222222222222222321e+00 3.401356003773524095e-01 6.189400966105347915e-03
3.242424242424242653e+00 3.167790362231535650e-01 5.935898151470535983e-03
3.262626262626262985e+00 3.005644149499279716e-01 5.746183819259480761e-03
3.282828282828282873e+00 2.957914678493023808e-01 5.665297448235091966e-03
3.303030303030303205e+00 2.881112867399335808e-01 5.557067088232572893e-03
3.323232323232323537e+00 2.863132220598471056e-01 5.506023501150906010e-03
3.343434343434343425e+00 2.839097902055329747e-01 5.449735783368745562e-03
3.363636363636363757e+00 3.055219911202870509e-01 5.619404059308025223e-03
3.383838383838384090e+00 2.900382252340136802e-01 5.442470315280553868e-03
3.404040404040403978e+00 2.983122865688481173e-01 5.486797424760344807e-03
3.424242424242424310e+00 2.950022213910704627e-01 5.424081437508616876e-03
3.444444444444444642e+00 3.199383277531437919e-01 5.615546305548473581e-03
3.464646464646464530e+00 3.206993645999057785e-01 5.589438553730102094e-03
3.484848484848484862e+00 3.221916340831597059e-01 5.569949929892661390e-03
3.505050505050505194e+00 3.219149652216245494e-01 5.535468262074811491e-03
3.525252525252525526e+00 3.430775684813947013e-01 5.681774472959657228e-03
3.545454545454545414e+00 3.758319048896057724e-01 5.912933063137612751e-03
3.565656565656565746e+00 3.846459204844647206e-01 5.947974753592904194e-03
3.585858585858586078e+00 3.901459464988392689e-01 5.956600217131480593e-03
3.606060606060606410e+00 4.138440305239324268e-01 6.100471295055281094e-03
3.626262626262626299e+00 4.264977950774521132e-01 6.158532009740435437e-03
3.646464646464646631e+00 4.536213084978470977e-01 6.316154984555843142e-03
3.666666666666666963e+00 4.916040092717910426e-01 6.539045202525262460e-03
3.686868686868686851e+00 5.223631678613672724e-01 6.703577977268997991e-03
3.707070707070707183e+00 5.427238404295970930e-01 6.795738235401896712e-03
3.727272727272727515e+00 5.781014613165099680e-01 6.975718135264802507e-03
3.747474747474747403e+00 6.338368336506995382e-01 7.264873952702326568e-03
3.767676767676767735e+00 6.558900198449828522e-01 7.350551691187156428e-03
3.787878787878788067e+00 6.958572044869179019e-01 7.530816280029931607e-03
3.808080808080808399e+00 7.442957062765751530e-01 7.747198133170383853e-03
3.828282828282828287e+00 8.290173898948530740e-01 8.133095405838369762e-03
3.848484848484848619e+00 8.684988481845924424e-01 8.280811605468960460e-03
3.868686868686868952e+00 9.103941136337438955e-01 8.433914676140349259e-03
3.888888888888889284e+00 9.994687173865952623e-01 8.790976716255538212e-03
3.909090909090909172e+00 1.089566072726693369e+00 9.131225694437484705e-03
3.929292929292929504e+00 1.147163348156235996e+00 9.321295727041760404e-03
3.949494949494949836e+00 1.221820230285452169e+00 9.570621806501769524e-03
3.969696969696969724e+00 1.306478026504249934e+00 9.846270462275015858e-03
3.989898989898990056e+00 1.353222155827582096e+00 9.970127466656110091e-03
