# gamma	percentage
0.000000000000000000e+00 9.931344696969697239e+00
7.999999484839448796e-03 9.941208964646465418e+00
1.599999896967889759e-02 9.943181818181818343e+00
2.399999845451834812e-02 9.866240530303031164e+00
3.199999908926973863e-02 9.812973484848484418e+00
3.999999857410919263e-02 9.761679292929292373e+00
4.799999805894863275e-02 9.838620580808081328e+00
5.599999869370003713e-02 9.805082070707070940e+00
6.399999702862753381e-02 9.633443813131313149e+00
7.199999651346697394e-02 9.548611111111110716e+00
7.999999714821838526e-02 9.459832702020202433e+00
8.799999663305783926e-02 9.347380050505050164e+00
9.599999611789726550e-02 9.266493055555555358e+00
1.039999956027367334e-01 9.031723484848484418e+00
1.119999950875761735e-01 8.905460858585858119e+00
1.199999945724155997e-01 8.686474116161615910e+00
1.279999940572550676e-01 8.524700126262626299e+00
1.359999946920064651e-01 8.526672979797979224e+00
1.439999941768459191e-01 8.390546085858586522e+00
1.519999936616853453e-01 8.203125000000000000e+00
1.599999942964367705e-01 8.108428030303031164e+00
1.679999926313642533e-01 7.962436868686868507e+00
1.759999921162037073e-01 7.820391414141414366e+00
1.839999916010431613e-01 7.822364267676767291e+00
1.919999922357945310e-01 7.873658459595959336e+00
1.999999917206340128e-01 7.771070075757576134e+00
