# s	p(s)	error
1.000000000000000000e+00 1.277451588190212428e+00 3.919965025606036990e-02
1.811609194200414219e+00 1.759548700406327604e-01 1.080882174491131983e-02
2.438354098268828540e+00 8.090344364424516266e-02 6.317497571832302039e-03
3.281927872511474220e+00 3.481885671584007691e-02 3.572339323480670532e-03
4.417344703140069662e+00 2.232916566753055665e-02 2.465843840643468579e-03
5.945570708544391181e+00 4.046284180856530438e-02 2.861154982891507201e-03
8.002502278161049531e+00 1.067216364721208614e-02 1.266552806975451955e-03
1.077105056036769071e+01 1.150268148236492302e-02 1.133392884197241242e-03
1.449740670372631612e+01 6.056928840077783864e-03 7.089098999280323476e-04
1.951293422635963282e+01 3.760340638494411025e-03 4.814622828376982958e-04
2.626363527653332852e+01 2.656397658109559048e-03 3.488021007432870295e-04
3.534981105030105653e+01 1.497219633615918784e-03 2.257143524298811372e-04
4.757944314009409226e+01 7.078783180928865590e-04 1.337764277263179884e-04
6.404004271197280218e+01 4.695786355957835335e-04 9.391572711915671212e-05
8.619535664753031767e+01 3.209695984309371246e-04 6.692678774696144122e-05
1.160155301739971492e+02 1.347867361743995641e-04 3.738311450224881242e-05
1.561523006000496423e+02 6.932885955099897838e-05 2.310961985033299279e-05
2.101748011332487067e+02 1.716961446455338088e-05 9.912881532991986457e-06
2.828869434625969461e+02 2.551280919120397475e-05 1.041556073723975526e-05
3.807546021222372019e+02 1.263673167444670822e-05 6.318365837223354109e-06
5.124805876960931528e+02 2.112443120145271426e-05 7.041477067150905035e-06
3.046989570903508138e+03 7.895487708221304012e-07 5.582952899258316549e-07
