# gamma	xc	yc
0.000000000000000000e+00 nan nan
7.000000000000007952e-03 9.233368115942027998e+00 1.805248831168830748e+01
1.400000000000001590e-02 1.385005217391304200e+01 1.241108571428571139e+01
2.100000000000002212e-02 1.615839420289854900e+01 nan
2.800000000000003181e-02 1.038753913043478150e+01 9.026244155844153738e+00
3.500000000000003803e-02 1.154171014492753500e+01 9.026244155844153738e+00
4.200000000000004424e-02 3.462513043478260499e+01 1.015452467532467296e+01
4.900000000000005046e-02 1.154171014492753500e+01 1.579592727272726904e+01
5.600000000000006362e-02 1.154171014492753500e+01 1.015452467532467296e+01
6.300000000000006983e-02 1.154171014492753500e+01 1.128280519480519217e+01
7.000000000000007605e-02 1.731256521739130250e+01 1.015452467532467296e+01
7.700000000000008227e-02 3.116261739130434449e+01 2.820701298701298043e+01
8.400000000000008848e-02 3.693347246376811199e+01 1.805248831168830748e+01
9.099999999999994205e-02 3.577930144927535849e+01 1.805248831168830748e+01
9.799999999999994826e-02 2.770010434782608399e+01 1.128280519480519217e+01
1.049999999999999545e-01 3.462513043478260499e+01 1.353936623376623061e+01
1.119999999999999607e-01 3.462513043478260499e+01 1.353936623376623061e+01
1.189999999999999669e-01 3.462513043478260499e+01 2.933529350649349965e+01
1.259999999999999731e-01 nan 2.707873246753246121e+01
1.329999999999999793e-01 nan 2.482217142857142278e+01
1.399999999999999856e-01 nan 2.820701298701298043e+01
1.470000000000000195e-01 3.000844637681159099e+01 nan
1.539999999999999980e-01 nan nan
1.610000000000000042e-01 3.462513043478260499e+01 nan
1.680000000000000104e-01 nan nan
1.750000000000000167e-01 nan nan
1.820000000000000229e-01 nan nan
1.890000000000000291e-01 nan nan
1.960000000000000353e-01 nan nan
