# gamma	percentage
0.000000000000000000e+00 1.007536300505050519e+01
8.000000320962534495e-03 1.006944444444444464e+01
1.600000064192506899e-02 1.004182449494949481e+01
2.399999981659283951e-02 9.990530303030302761e+00
3.200000013755537748e-02 9.939236111111110716e+00
4.000000275110743297e-02 9.882023358585858119e+00
4.799999963318567903e-02 9.874131944444444642e+00
5.599999995414821352e-02 9.797190656565655686e+00
6.400000027511075495e-02 9.647253787878787179e+00
7.200000518125232452e-02 9.509154040404039776e+00
8.000000550221487983e-02 9.495344065656565746e+00
8.800000582317740738e-02 9.473642676767676463e+00
9.600000041266612549e-02 9.388809974747474030e+00
1.039999995873338995e-01 9.088936237373737015e+00
1.119999999082964270e-01 8.942945075757576134e+00
1.200000002292589546e-01 9.013967803030302761e+00
1.280000005502215099e-01 8.883759469696968836e+00
1.360000008711840236e-01 8.704229797979797567e+00
1.440000115087994581e-01 8.637152777777778567e+00
1.520000106834672182e-01 8.595722853535352925e+00
1.600000110044297319e-01 8.400410353535352925e+00
1.680000113253922733e-01 8.650962752525252597e+00
1.760000116463548148e-01 8.605587121212121104e+00
1.840000005043696818e-01 8.420138888888889284e+00
1.920000008253322510e-01 8.386600378787878896e+00
2.000000000000000111e-01 8.467487373737373701e+00
