# s	p(s)	error
1.000000000000000000e+00 1.273615350179218675e+00 4.095670855183976972e-02
1.804721766827170226e+00 1.970449542862365566e-01 1.199177403390511501e-02
2.424462017082328114e+00 9.289504221592209676e-02 7.103861427634194058e-03
3.257020655659783159e+00 4.205567783447632102e-02 4.123898498757044319e-03
4.375479375074184496e+00 2.257602269629449543e-02 2.606854556187345340e-03
5.878016072274911963e+00 2.666416590279459611e-02 2.444300080760268643e-03
7.896522868499724623e+00 1.734639583468806229e-02 1.700954054838058321e-03
1.060818355139448244e+01 1.415388414278563600e-02 1.325632706690415370e-03
1.425102670302997687e+01 5.175516336975303361e-03 6.916074618790305807e-04
1.914481976169957633e+01 3.646165674157922018e-03 5.008393732526840707e-04
2.571913809059344302e+01 2.202033166756225523e-03 3.358069097553024671e-04
3.455107294592217926e+01 1.410431491891314757e-03 2.318735089305164166e-04
4.641588833612777165e+01 7.377657538445046501e-04 1.446877682812931093e-04
6.235507341273912374e+01 3.379558733256386662e-04 8.448896833140966654e-05
8.376776400682915380e+01 3.459055803785304208e-04 7.374731752810587018e-05
1.125335582600764610e+02 1.287426500761139738e-04 3.881736952895364472e-05
1.511775070615661605e+02 2.613640708828868540e-05 1.508986166807311632e-05
2.030917620904734804e+02 1.297028438929174287e-05 9.171376045586209698e-06
2.728333376486766610e+02 3.379188470690941881e-05 1.277213189523558215e-05
3.665241237079625876e+02 1.078029142306054068e-05 6.224004155046617277e-06
4.923882631706736674e+02 5.349757718580625146e-06 3.782849960513433662e-06
2.154434690031882383e+03 1.222667794769327224e-06 8.645566888197931720e-07
1.266380173467402165e+04 2.080068818689252644e-07 1.470830767029861589e-07
