# s	p(s)	error
1.000000000000000000e+00 1.250634593227726743e+00 4.038509731663550428e-02
1.804721766827170226e+00 1.589733238193282439e-01 1.071797930543155405e-02
2.424462017082328114e+00 6.938828535755031668e-02 6.109297873143618683e-03
3.257020655659783159e+00 4.524491335043864804e-02 4.256283417696525399e-03
4.375479375074184496e+00 2.831455851466294776e-02 2.905012408489256095e-03
5.878016072274911963e+00 2.396099322837542261e-02 2.305647648408891762e-03
7.896522868499724623e+00 1.998302828227777050e-02 1.816638934752524493e-03
1.060818355139448244e+01 1.253923311275564195e-02 1.241569085740675503e-03
1.425102670302997687e+01 8.418864189245893123e-03 8.777272667233486153e-04
1.914481976169957633e+01 3.746478439243037042e-03 5.051750496918314473e-04
2.571913809059344302e+01 3.194449076713722427e-03 4.024627539449715280e-04
3.455107294592217926e+01 1.698489261637190937e-03 2.531958298716122970e-04
4.641588833612777165e+01 5.900169092416926355e-04 1.287522451382831703e-04
6.235507341273912374e+01 5.228535293908049457e-04 1.045707058781609864e-04
8.376776400682915380e+01 3.113614942054841695e-04 6.962254666193694146e-05
1.125335582600764610e+02 2.665370673093931525e-04 5.557682041450921431e-05
1.511775070615661605e+02 1.552734332437249011e-04 3.659829919491819404e-05
2.030917620904734804e+02 1.284249833619527177e-05 9.081017660900629875e-06
2.728333376486766610e+02 3.345895973442755428e-05 1.264629808345986295e-05
4.923882631706736674e+02 7.945576118975658899e-06 4.587380511157258907e-06
6.614740641230146139e+02 5.914530345645169051e-06 3.414755687188448933e-06
8.886238162743397879e+02 4.402659880888204201e-06 2.541876867381170555e-06
