# s	p(s)	error
1.000000000000000000e+00 1.251930494131999971e+00 3.945167826231982255e-02
1.811609194200414219e+00 1.928379700723829859e-01 1.150374883993799009e-02
2.438354098268828540e+00 7.036117115301000757e-02 5.989540645583384289e-03
3.281927872511474220e+00 4.129031661804116737e-02 3.954895058186354111e-03
4.417344703140069662e+00 2.729990849520254337e-02 2.771885739910261506e-03
5.945570708544391181e+00 3.931108659527891847e-02 2.867055655996678283e-03
8.002502278161049531e+00 9.476648577309038091e-03 1.213360516059166887e-03
1.077105056036769071e+01 1.119603937532486632e-02 1.136785564442110421e-03
1.449740670372631612e+01 6.431639417899652662e-03 7.426617498509943769e-04
1.951293422635963282e+01 4.077633051121682187e-03 5.097041313902102733e-04
2.626363527653332852e+01 2.035468399071580815e-03 3.104060208156117083e-04
3.534981105030105653e+01 1.125417409056986067e-03 1.989475704023973711e-04
4.757944314009409226e+01 7.054969762854772751e-04 1.357729563902957759e-04
6.404004271197280218e+01 5.629854000647460926e-04 1.045437642537658685e-04
8.619535664753031767e+01 2.451973644787697063e-04 5.946909605111996161e-05
1.160155301739971492e+02 1.178765193481523277e-04 3.554110784280818078e-05
1.561523006000496423e+02 8.757800451668128021e-05 2.640576189726202863e-05
2.101748011332487067e+02 5.323688201073777153e-05 1.774562733691259164e-05
2.828869434625969461e+02 2.636872278987662492e-05 1.076498600068263686e-05
3.807546021222372019e+02 9.795505230224334326e-06 5.655437581518406977e-06
5.124805876960931528e+02 1.940721937475397755e-05 6.861488211931743001e-06
6.897785379387657940e+02 5.407074142471301712e-06 3.121775711684071006e-06
9.284145445194744752e+02 4.017261166939986775e-06 2.319366816137831835e-06
1.249609141291986816e+03 1.989786818548288480e-06 1.406991752511101140e-06
3.046989570903508138e+03 8.160368586174535388e-07 5.770251964265692499e-07
