# gamma	percentage
0.000000000000000000e+00 1.037129103535353458e+01
8.000001320016655176e-03 1.030815972222222143e+01
1.600000148617259851e-02 1.044034090909090828e+01
2.399999934460711817e-02 1.034761679292929237e+01
3.200000181848448172e-02 1.013257575757575779e+01
4.000000198464042506e-02 1.025291982323232354e+01
4.799999868921423635e-02 1.014441287878787890e+01
5.599999885537017275e-02 9.992503156565655686e+00
6.400000363696896344e-02 1.009114583333333393e+01
7.200000380312490678e-02 9.824810606060605522e+00
8.000000396928086399e-02 9.968828914141413478e+00
8.800000298157609202e-02 9.678819444444444642e+00
9.599999737842847269e-02 9.546638257575757791e+00
1.040000021600272495e-01 9.341461489898989612e+00
1.119999965568796302e-01 9.187578914141413478e+00
1.200000024923391501e-01 9.083017676767676463e+00
1.280000072739379269e-01 9.144176136363636687e+00
1.360000016707903214e-01 9.088936237373737015e+00
1.440000076062498136e-01 9.043560606060605522e+00
1.520000008492414789e-01 8.927162247474747403e+00
1.600000079385617002e-01 9.053424873737373701e+00
1.680000011815533933e-01 9.118529040404039776e+00
1.760000059631521840e-01 8.964646464646465418e+00
1.840000015138652523e-01 8.921243686868686851e+00
1.919999947568569454e-01 9.017913510101010388e+00
1.999999995384557083e-01 9.083017676767676463e+00
