# gamma	percentage
0.000000000000000000e+00 2.189867424242424310e-01
8.000000009170841336e-03 2.505523989898990056e-01
1.600000001834168267e-02 2.347695707070707183e-01
2.399999888115735350e-02 2.367424242424242542e-01
3.200000003668336535e-02 2.288510101010101105e-01
4.000000119220936678e-02 2.722537878787879007e-01
4.799999890866987751e-02 2.268781565656565746e-01
5.600000006419588588e-02 2.584438131313131493e-01
6.400000007336673069e-02 2.150410353535353591e-01
7.200000008253755468e-02 2.229324494949495028e-01
8.000000238441873357e-02 2.327967171717171824e-01
8.800000239358957144e-02 2.110953282828282873e-01
9.599999667098459144e-02 2.347695707070707183e-01
1.040000024119312610e-01 2.209595959595959669e-01
1.119999989820365943e-01 2.544981060606060774e-01
1.200000047229832778e-01 2.485795454545454419e-01
1.279999990003782839e-01 2.742266414141414366e-01
1.360000070340352807e-01 2.544981060606060774e-01
1.440000013114303146e-01 2.544981060606060774e-01
1.519999955888253207e-01 2.288510101010101105e-01
1.600000024761271400e-01 2.308238636363636465e-01
1.679999978998773236e-01 2.308238636363636465e-01
1.760000036408239932e-01 2.308238636363636465e-01
1.840000093817706628e-01 2.209595959595959669e-01
1.919999944883243326e-01 2.347695707070707183e-01
2.000000002292710022e-01 2.327967171717171824e-01
