# s	p(s)	error
1.000000000000000000e+00 1.203110696901479315e+00 3.736080368352950876e-02
1.804721766827170226e+00 1.677865262135352087e-01 1.038572524225840100e-02
2.424462017082328114e+00 9.427090434254220552e-02 6.716523834098552664e-03
3.257020655659783159e+00 4.381385134124785030e-02 3.950561933223613841e-03
4.375479375074184496e+00 2.545496028379646419e-02 2.597986004921359372e-03
5.878016072274911963e+00 2.881701007203961093e-02 2.384912722753373092e-03
7.896522868499724623e+00 2.453620578766746441e-02 1.898668607673563435e-03
1.060818355139448244e+01 1.093668757940135725e-02 1.093668757940135681e-03
1.425102670302997687e+01 6.105791096890507072e-03 7.050360266810709034e-04
1.914481976169957633e+01 4.666231432972741712e-03 5.317664239956559988e-04
2.571913809059344302e+01 2.300597256708966729e-03 3.221480519939040480e-04
3.455107294592217926e+01 1.511046422803126541e-03 2.252535012363785947e-04
4.641588833612777165e+01 9.248299574740636349e-04 1.520411084383927088e-04
6.235507341273912374e+01 4.093339041410786350e-04 8.727028159151672916e-05
8.376776400682915380e+01 3.324001035350658854e-04 6.785088700910086310e-05
1.125335582600764610e+02 1.752643965378810709e-04 4.250785996093069742e-05
1.511775070615661605e+02 2.302294664231326141e-05 1.329230444147795369e-05
2.030917620904734804e+02 4.570087455732914995e-05 1.615769915282159973e-05
2.728333376486766610e+02 2.126176923363025601e-05 9.508552265662171247e-06
3.665241237079625876e+02 2.215757906437024712e-05 8.374777694224986807e-06
4.923882631706736674e+02 7.068713734530934470e-06 4.081123777455840040e-06
6.614740641230146139e+02 5.261811259691499526e-06 3.037908147207891291e-06
8.886238162743397879e+02 3.916788651005322695e-06 2.261358982016794262e-06
