# s	p(s)	error
1.000000000000000000e+00 1.136967532772897194e+00 3.485597610301126997e-02
1.811609194200414219e+00 1.881622952795135584e-01 1.053506599712637423e-02
2.438354098268828540e+00 7.888277244912719754e-02 5.879574714996532725e-03
3.281927872511474220e+00 4.623445549846967595e-02 3.879909316531360980e-03
4.417344703140069662e+00 3.265719754914227918e-02 2.810684049814082906e-03
5.945570708544391181e+00 4.187634873525675899e-02 2.743410821046248296e-03
8.002502278161049531e+00 1.228481034324052645e-02 1.280780015261545092e-03
1.077105056036769071e+01 1.061529697046875199e-02 1.026219492340802982e-03
1.449740670372631612e+01 6.707450941920488872e-03 7.031319115471397051e-04
1.951293422635963282e+01 4.764343954572771399e-03 5.107912873976137597e-04
2.626363527653332852e+01 2.359823871511005765e-03 3.098600547453304118e-04
3.534981105030105653e+01 1.662577994260190607e-03 2.241819710129266680e-04
4.757944314009409226e+01 8.983531018627971239e-04 1.420420972481845957e-04
6.404004271197280218e+01 4.004663818422185811e-04 8.174485788766717737e-05
8.619535664753031767e+01 2.727377447665341442e-04 5.814788256143871645e-05
1.160155301739971492e+02 2.118449629353871756e-04 4.417272831741497996e-05
1.561523006000496423e+02 6.158863197820722737e-05 2.052954399273574133e-05
2.101748011332487067e+02 4.575813333640123070e-05 1.525271111213374413e-05
2.828869434625969461e+02 1.888702417944028043e-05 8.446533991582129847e-06
3.807546021222372019e+02 8.419426861468235732e-06 4.860958364891052271e-06
5.124805876960931528e+02 4.170220429418022403e-06 2.948791144684159626e-06
6.897785379387657940e+02 3.098323445778379520e-06 2.190845518819162600e-06
