# mu	p(mu)	err
-2.889026959588018144e+03 1.292132120067387908e-07 9.136753842886001367e-08
-2.583662902040923655e+03 1.292132120067387908e-07 9.136753842886001367e-08
-1.362206671852546606e+03 3.876396360202163988e-07 1.582532187212874430e-07
-1.056842614305452116e+03 9.044924840471715089e-07 2.417357845869007635e-07
-7.514785567583576267e+02 2.390444422124674789e-06 3.929866422070365795e-07
-4.461144992112640466e+02 2.228927907116244587e-05 1.200014446183769771e-06
-1.407504416641695570e+02 3.227164576474305172e-03 1.443939577338006029e-05
1.646136158829249325e+02 1.892973555898728956e-05 1.105886959416497845e-06
4.699776734300185126e+02 1.227525514064018446e-06 2.816136666538353752e-07
7.753417309771130022e+02 3.876396360202163988e-07 1.582532187212874430e-07
1.080705788524207492e+03 1.938198180101081994e-07 1.119019241024202534e-07
1.386069846071301981e+03 1.292132120067387908e-07 9.136753842886001367e-08
1.996797961165490960e+03 1.292132120067395584e-07 9.136753842886055630e-08
