# gamma	CrltnCoeff
7.000000000000045249e-03 -9.593167344433570221e-02
1.399999999999992743e-02 -1.033945146706354845e-01
2.099999999999997355e-02 -1.231895148304142790e-01
2.800000000000001793e-02 -1.229868939145380285e-01
3.500000000000005884e-02 -1.052271145790357326e-01
4.199999999999994710e-02 -1.343721614501018347e-01
4.899999999999999495e-02 -1.523152133457715551e-01
5.600000000000003586e-02 -1.368903280502794528e-01
6.300000000000008371e-02 -1.491124951591995262e-01
6.999999999999996503e-02 -1.482698802373697833e-01
7.700000000000001288e-02 -1.474404524509501380e-01
8.400000000000006073e-02 -1.748242543940227156e-01
9.099999999999994205e-02 -1.951874704108028102e-01
9.799999999999998990e-02 -2.132789778942049685e-01
1.050000000000000239e-01 -2.194205690328335789e-01
1.120000000000000717e-01 -2.340422744979529235e-01
1.189999999999999530e-01 -2.501685526631610701e-01
1.260000000000000286e-01 -2.476358879286326142e-01
1.330000000000000626e-01 -2.723247255566012548e-01
1.399999999999999301e-01 -2.874029428732934321e-01
1.469999999999999640e-01 -2.613479027053516868e-01
1.540000000000000258e-01 -3.001969210712758240e-01
1.610000000000000597e-01 -3.037363167128556696e-01
1.679999999999999549e-01 -3.136292253004812070e-01
1.750000000000000167e-01 -3.212205325134742107e-01
1.820000000000000506e-01 -3.455854268603014146e-01
1.890000000000000013e-01 -3.541649836434108134e-01
1.959999999999999798e-01 -3.327057971587256691e-01
