# gamma	xc	yc
0.000000000000000000e+00 nan nan
7.000000000000045249e-03 6.967078260869570272e+00 9.081496103896114391e+00
1.399999999999992743e-02 1.161179710144928379e+01 1.021668311688312869e+01
2.099999999999997355e-02 9.289437681159427029e+00 1.021668311688312869e+01
2.800000000000001793e-02 3.135185217391306622e+01 7.946309090909100092e+00
3.500000000000005884e-02 2.206241449275363919e+01 1.135187012987014299e+01
4.199999999999994710e-02 nan 9.081496103896114391e+00
4.899999999999999495e-02 3.831893043478263650e+01 1.816299220779222878e+01
5.600000000000003586e-02 3.599657101449277974e+01 9.081496103896114391e+00
6.300000000000008371e-02 1.625651594202899730e+01 1.021668311688312869e+01
6.999999999999996503e-02 1.509533623188406892e+01 1.702780519480521448e+01
7.700000000000001288e-02 3.019067246376813785e+01 2.156855324675327168e+01
8.400000000000006073e-02 2.902949275362320947e+01 2.270374025974028598e+01
9.099999999999994205e-02 1.277297681159421217e+01 2.270374025974028598e+01
9.799999999999998990e-02 1.161179710144928379e+01 nan
1.050000000000000239e-01 2.786831304347828109e+01 nan
1.120000000000000717e-01 1.277297681159421217e+01 nan
1.189999999999999530e-01 nan nan
1.260000000000000286e-01 nan nan
1.330000000000000626e-01 nan 2.497411428571431458e+01
1.399999999999999301e-01 nan 2.383892727272730028e+01
1.469999999999999640e-01 nan 2.270374025974028598e+01
1.540000000000000258e-01 nan 2.156855324675327168e+01
1.610000000000000597e-01 nan 2.043336623376625738e+01
1.679999999999999549e-01 nan 2.043336623376625738e+01
1.750000000000000167e-01 nan 2.043336623376625738e+01
1.820000000000000506e-01 nan 2.043336623376625738e+01
1.890000000000000013e-01 nan 1.929817922077924308e+01
1.959999999999999798e-01 nan 1.929817922077924308e+01
