# r	g(r)	err
2.797979797979798011e+00 2.055433080380240085e+00 1.777215989009765101e-02
2.818181818181818343e+00 1.909437801441820071e+00 1.700657523627997769e-02
2.838383838383838231e+00 1.759909829036852225e+00 1.621090267527702453e-02
2.858585858585858563e+00 1.585842649545376570e+00 1.527959775056155975e-02
2.878787878787878896e+00 1.441438601928344276e+00 1.446510278925942569e-02
2.898989898989898784e+00 1.281710424151365046e+00 1.354507366917593464e-02
2.919191919191919560e+00 1.187235653120780610e+00 1.294609925248020599e-02
2.939393939393939448e+00 1.051508101656967620e+00 1.209989586124817981e-02
2.959595959595959780e+00 9.259555249188466952e-01 1.127705642010297903e-02
2.979797979797980112e+00 8.657518855163555127e-01 1.083036309787386263e-02
3.000000000000000000e+00 7.752677436879006345e-01 1.017976419348639097e-02
3.020202020202020332e+00 7.098031733671943400e-01 9.675336758107349125e-03
3.040404040404040664e+00 6.259630601973763531e-01 9.025601755805539098e-03
3.060606060606060552e+00 5.756032203853760354e-01 8.597799020446305826e-03
3.080808080808080884e+00 5.194083119431274209e-01 8.113774213953959397e-03
3.101010101010101216e+00 4.713795777479684035e-01 7.679188282272380803e-03
3.121212121212121104e+00 4.297331976181608115e-01 7.284659939978605989e-03
3.141414141414141437e+00 4.005745937500046483e-01 6.987947304780039309e-03
3.161616161616161769e+00 3.644213524900753454e-01 6.622559672449702776e-03
3.181818181818181657e+00 3.457868722124589067e-01 6.410058702962172575e-03
3.202020202020201989e+00 3.170322479503060453e-01 6.099029974699369562e-03
3.222222222222222321e+00 2.912866139372826679e-01 5.809488420819329708e-03
3.242424242424242653e+00 2.748524155465473795e-01 5.608065231599048718e-03
3.262626262626262985e+00 2.642263235535967647e-01 5.464542759462654407e-03
3.282828282828282873e+00 2.484820709063495225e-01 5.266625989097127591e-03
3.303030303030303205e+00 2.571400124731763048e-01 5.324825592240649795e-03
3.323232323232323537e+00 2.437838358112085213e-01 5.153174689901446684e-03
3.343434343434343425e+00 2.378334336981774710e-01 5.059140832780990166e-03
3.363636363636363757e+00 2.439167172335492684e-01 5.092662077770046015e-03
3.383838383838384090e+00 2.422737205602040478e-01 5.045179905114514918e-03
3.404040404040403978e+00 2.504114145949159487e-01 5.098770563589543822e-03
3.424242424242424310e+00 2.677797494046754156e-01 5.241522774233526444e-03
3.444444444444444642e+00 2.427459584566112882e-01 4.961236554357720263e-03
3.464646464646464530e+00 2.617710122490999880e-01 5.121945653699198214e-03
3.484848484848484862e+00 2.686507856171100883e-01 5.158735632232324883e-03
3.505050505050505194e+00 2.884764817659378200e-01 5.314887075048775264e-03
3.525252525252525526e+00 2.952470760376045278e-01 5.346082859187343932e-03
3.545454545454545414e+00 3.026106807493145756e-01 5.381499691738660801e-03
3.565656565656565746e+00 3.355258153170945778e-01 5.634515458428464990e-03
3.585858585858586078e+00 3.450410971853404285e-01 5.681661683581367903e-03
3.606060606060606410e+00 3.548777624068932823e-01 5.729800314144429391e-03
3.626262626262626299e+00 3.736228734040855093e-01 5.846427781876609858e-03
3.646464646464646631e+00 3.846940524013933715e-01 5.899549426187850228e-03
3.666666666666666963e+00 4.175111750582319869e-01 6.112174392420914940e-03
3.686868686868686851e+00 4.456938202047831532e-01 6.280493228114357104e-03
3.707070707070707183e+00 4.646601256828228332e-01 6.377786082384368296e-03
3.727272727272727515e+00 5.058775891548866754e-01 6.618577580583462003e-03
3.747474747474747403e+00 5.256227469619235704e-01 6.710138373789611282e-03
3.767676767676767735e+00 5.822046815500382388e-01 7.024207375951805471e-03
3.787878787878788067e+00 6.251438797934280034e-01 7.239807753994865688e-03
3.808080808080808399e+00 6.810783521191056122e-01 7.516670241099576537e-03
3.828282828282828287e+00 7.474563674205599861e-01 7.832889914890551336e-03
3.848484848484848619e+00 7.820288051813062413e-01 7.969933712857287314e-03
3.868686868686868952e+00 8.907528442295221671e-01 8.461515315108126406e-03
3.888888888888889284e+00 9.376813712217136887e-01 8.636449232121300515e-03
3.909090909090909172e+00 1.035396017089086129e+00 9.028395797285414595e-03
3.929292929292929504e+00 1.123420742780378401e+00 9.355993853212913464e-03
3.949494949494949836e+00 1.208515156767724363e+00 9.654229159269445137e-03
3.969696969696969724e+00 1.300373654189300954e+00 9.963452176401295726e-03
3.989898989898990056e+00 1.381095079542521420e+00 1.021604984701629179e-02
