# mu	p(mu)	err
-3.443127651318524840e+03 3.995172427054693575e-07 2.306613876218997997e-07
-2.257985189685374280e+03 2.663448284703129050e-07 1.883342343453260675e-07
-1.813556766572942706e+03 3.995172427054693575e-07 2.306613876218997997e-07
-1.517271151164655294e+03 2.663448284703121109e-07 1.883342343453255116e-07
-1.369128343460511132e+03 2.663448284703129050e-07 1.883342343453260675e-07
-1.220985535756367426e+03 1.065379313881251620e-06 3.766684686906521350e-07
-1.072842728052223720e+03 1.065379313881251620e-06 3.766684686906521350e-07
-9.246999203480800134e+02 1.464896556586721031e-06 4.416829304437982633e-07
-7.765571126439363070e+02 2.263931041997652652e-06 5.490839303100572634e-07
-6.284143049397921459e+02 4.927379326700788690e-06 8.100561713789629866e-07
-4.802714972356484395e+02 1.145282762422345672e-05 1.234990163740962431e-06
-3.321286895315047332e+02 3.196137941643745119e-05 2.063098170027979745e-06
-1.839858818273605721e+02 3.559698632505731630e-04 6.885155487281120653e-06
-3.584307412321686570e+01 6.105822020267688902e-03 2.851538285433370264e-05
1.122997335809268407e+02 2.098797248346065891e-04 5.286793891881438480e-06
2.604425412850705470e+02 1.438262073739689708e-05 1.383968325731398745e-06
4.085853489892142534e+02 5.193724155171086666e-06 8.316614603404319376e-07
5.567281566933584145e+02 1.598068970821872560e-06 4.613227752437981700e-07
7.048709643975025756e+02 5.326896569406258100e-07 2.663448284703129050e-07
8.530137721016462820e+02 5.326896569406258100e-07 2.663448284703129050e-07
1.001156579805789988e+03 2.663448284703137521e-07 1.883342343453266763e-07
