# s	p(s)	error
1.000000000000000000e+00 1.253383737101297468e+00 3.858849363691060907e-02
1.811609194200414219e+00 1.790316138770922660e-01 1.083548619365462887e-02
2.438354098268828540e+00 7.649525098770969256e-02 6.104985653735002168e-03
3.281927872511474220e+00 4.778333906521126800e-02 4.159005829104151994e-03
4.417344703140069662e+00 2.178488763759059768e-02 2.420543070843399550e-03
5.945570708544391181e+00 3.756608151829982783e-02 2.739788080638009236e-03
8.002502278161049531e+00 1.321282843726407329e-02 1.400557013238766394e-03
1.077105056036769071e+01 1.047845219734187469e-02 1.075066511783187833e-03
1.449740670372631612e+01 7.785112242381617663e-03 7.987356629236651425e-04
1.951293422635963282e+01 4.079282833297883000e-03 4.983637171162168169e-04
2.626363527653332852e+01 2.171290810812456871e-03 3.133988335278832136e-04
3.534981105030105653e+01 1.310717524227320062e-03 2.098827773144953165e-04
4.757944314009409226e+01 7.241194931733160520e-04 1.344656141654143339e-04
6.404004271197280218e+01 2.968246507420745951e-04 7.420616268551864878e-05
8.619535664753031767e+01 1.653975113986043606e-04 4.774614886463921632e-05
1.160155301739971492e+02 1.433651199335783753e-04 3.831594000037182675e-05
1.561523006000496423e+02 5.325755795348009834e-05 2.012946482564548307e-05
2.101748011332487067e+02 5.652635094988597402e-05 1.787520168196620628e-05
2.828869434625969461e+02 3.359763281899610845e-05 1.187855699906392436e-05
3.807546021222372019e+02 1.248091500768411053e-05 6.240457503842055264e-06
6.897785379387657940e+02 1.033411210953208118e-05 4.218883602178377495e-06
1.249609141291986816e+03 1.901460893187328580e-06 1.344535891733789372e-06
3.046989570903508138e+03 7.798132742645208827e-07 5.514112542917276580e-07
