# gamma	percentage
0.000000000000000000e+00 1.115056818181818166e+01
8.000001318138157819e-03 1.119791666666666607e+01
1.600000149205916752e-02 1.125118371212121282e+01
2.399999937754587059e-02 1.112886679292929237e+01
3.200000183990117653e-02 1.117621527777777857e+01
4.000000201382218623e-02 1.109532828282828198e+01
4.799999875509174119e-02 1.094933712121212110e+01
5.600000121744704712e-02 1.088028724747474740e+01
6.400000367980235305e-02 1.093750000000000000e+01
7.200000156528907347e-02 1.072837752525252597e+01
8.000000402764437246e-02 1.059816919191919204e+01
8.800000076891392742e-02 1.044231376262626299e+01
9.599999751018348237e-02 1.028053977272727337e+01
1.039999999725387952e-01 1.024700126262626299e+01
1.120000024348940942e-01 9.949100378787878896e+00
1.200000048972494210e-01 9.785353535353534582e+00
1.280000073596047061e-01 9.820864898989899672e+00
1.360000006682228202e-01 9.513099747474747403e+00
1.440000019863609815e-01 9.599905303030302761e+00
1.520000044487162805e-01 9.408538510101010388e+00
1.600000080552887449e-01 9.349352904040404866e+00
1.679999990754725558e-01 9.311868686868686851e+00
1.760000015378278548e-01 9.278330176767676463e+00
1.840000040001831538e-01 9.232954545454544970e+00
1.919999950203669647e-01 9.227035984848484418e+00
2.000000089248937796e-01 9.197443181818181657e+00
