# s	p(s)	error
1.000000000000000000e+00 1.315335675931577519e+00 4.149096815196583188e-02
1.804721766827170226e+00 1.820262419902523854e-01 1.148939451611736239e-02
2.424462017082328114e+00 7.773518659800024433e-02 6.477932216500020650e-03
3.257020655659783159e+00 3.737084979843787597e-02 3.875176603200632813e-03
4.375479375074184496e+00 2.452780864050088314e-02 2.708643339442319466e-03
5.878016072274911963e+00 2.671905012682262992e-02 2.439104411595337338e-03
7.896522868499724623e+00 1.740299276146070259e-02 1.698358190543229488e-03
1.060818355139448244e+01 1.135056132959712770e-02 1.183377822429918435e-03
1.425102670302997687e+01 8.081780599138128213e-03 8.615207065825617253e-04
1.914481976169957633e+01 3.418135385017242577e-03 4.833973419518765302e-04
2.571913809059344302e+01 2.442616941954582795e-03 3.525613872411547116e-04
3.455107294592217926e+01 1.401556866773796383e-03 2.304145295484816909e-04
4.641588833612777165e+01 7.613206950260223123e-04 1.465162360709689707e-04
6.235507341273912374e+01 5.667121283685576773e-04 1.090637999555375034e-04
8.376776400682915380e+01 2.343607471553413931e-04 6.051168471582429274e-05
1.125335582600764610e+02 1.395628188690278457e-04 4.028831552144810502e-05
1.511775070615661605e+02 6.925854210901127947e-05 2.448659239018796172e-05
2.030917620904734804e+02 3.866602083333578092e-05 1.578533690424944476e-05
2.728333376486766610e+02 9.594074746321248944e-06 6.784035312334360280e-06
3.665241237079625876e+02 1.071246037590420457e-05 6.184841881711492687e-06
4.923882631706736674e+02 5.316096321699669026e-06 3.759047758514697612e-06
1.603718743751329384e+03 2.448294108510699604e-06 1.413523262604027237e-06
