# gamma	percentage
0.000000000000000000e+00 7.733086354173668298e-01
6.999999871080919873e-03 7.716448905046788820e-01
1.399999974216183975e-02 7.864522202276016394e-01
2.099999961324275702e-02 7.844557263323761465e-01
2.799999833326046253e-02 7.846221008236451411e-01
3.500000050646781546e-02 7.764697507514739527e-01
4.199999922648551404e-02 7.708130180483349081e-01
4.899999794650322649e-02 7.523454495174984880e-01
5.599999666652092506e-02 7.523454495174984880e-01
6.300000114185470845e-02 7.508480790960793128e-01
6.999999986187241396e-02 7.481860872357783965e-01
7.699999973295333644e-02 7.496834576571977937e-01
8.399999845297102807e-02 7.395346136898012235e-01
9.099999832405196443e-02 7.253927819319533343e-01
9.799999589300645297e-02 7.087553328050737456e-01
1.049999946130241446e-01 7.037640980670097912e-01
1.119999933330418501e-01 7.042632215408162200e-01
1.189999920530595556e-01 6.919515091869251622e-01
1.260000022837094447e-01 6.842982825885607356e-01
1.330000010037271363e-01 6.788079243766903526e-01
1.399999997237448279e-01 6.808044182719157345e-01
1.469999995948257365e-01 6.679935824442185810e-01
1.539999983148434559e-01 6.543508741601772316e-01
1.609999970348611475e-01 6.556818700903276342e-01
1.679999957548788669e-01 6.498587628959197060e-01
1.749999944748965586e-01 6.470303965443501282e-01
1.819999931949142502e-01 6.353841821555343827e-01
1.889999930659951588e-01 6.282300790309761629e-01
1.959999917860129059e-01 6.220742228540306895e-01
