# gamma	xc	yc
0.000000000000000000e+00 nan nan
6.999999999999998411e-03 8.079055072463766862e+00 1.353914805194806092e+01
1.399999999999999682e-02 1.038735652173912882e+01 1.015436103896104569e+01
2.099999999999999437e-02 8.079055072463766862e+00 2.369350909090910662e+01
2.799999999999999364e-02 1.038735652173912882e+01 1.353914805194806092e+01
3.499999999999999639e-02 1.846641159420289569e+01 1.466741038961039933e+01
4.199999999999998873e-02 1.154150724637680980e+01 1.128262337662338410e+01
4.899999999999998801e-02 1.269565797101449078e+01 1.918045974025975298e+01
5.599999999999998729e-02 1.500395942028985274e+01 1.466741038961039933e+01
6.299999999999998657e-02 1.384980869565217176e+01 1.353914805194806092e+01
6.999999999999999278e-02 1.615811014492753372e+01 1.128262337662338410e+01
7.699999999999998512e-02 1.731226086956521470e+01 2.482177142857144503e+01
8.399999999999997746e-02 2.423716521739130059e+01 1.128262337662338410e+01
9.099999999999996980e-02 2.769961739130434353e+01 1.128262337662338410e+01
9.799999999999997602e-02 2.539131594202898157e+01 1.241088571428572251e+01
1.049999999999999684e-01 2.769961739130434353e+01 1.805219740259741457e+01
1.119999999999999746e-01 2.539131594202898157e+01 2.030872207792209139e+01
1.189999999999999530e-01 2.654546666666666255e+01 nan
1.259999999999999731e-01 2.539131594202898157e+01 nan
1.329999999999999793e-01 2.423716521739130059e+01 nan
1.399999999999999856e-01 2.423716521739130059e+01 nan
1.469999999999999640e-01 2.308301449275361961e+01 nan
1.539999999999999702e-01 2.192886376811593863e+01 nan
1.609999999999999487e-01 2.192886376811593863e+01 nan
1.679999999999999549e-01 2.077471304347825765e+01 nan
1.749999999999999334e-01 2.077471304347825765e+01 nan
1.820000000000000229e-01 2.077471304347825765e+01 nan
1.890000000000000291e-01 2.077471304347825765e+01 nan
1.960000000000000353e-01 2.077471304347825765e+01 nan
