# gamma	CrltnCoeff
0.000000000000000000e+00 -1.404599251350970891e-02
8.000001318138157819e-03 -9.730033432796883486e-02
1.600000149205916752e-02 -1.033365935701332228e-01
2.399999937754587059e-02 -1.042639584969773242e-01
3.200000183990117653e-02 -1.174318847593324583e-01
4.000000201382218623e-02 -1.207362711245687226e-01
4.799999875509174119e-02 -1.340132915570887984e-01
5.600000121744704712e-02 -1.278070146335900936e-01
6.400000367980235305e-02 -1.647125404501810775e-01
7.200000156528907347e-02 -1.626114627044966399e-01
8.000000402764437246e-02 -1.646448113732905949e-01
8.800000076891392742e-02 -1.577435357962521378e-01
9.599999751018348237e-02 -1.901583875129803924e-01
1.039999999725387952e-01 -2.237957644084814512e-01
1.120000024348940942e-01 -2.260443876309096434e-01
1.200000048972494210e-01 -2.261307345463153262e-01
1.280000073596047061e-01 -2.188679524829087730e-01
1.360000006682228202e-01 -2.409838174423363510e-01
1.440000019863609815e-01 -2.260198316417171560e-01
1.520000044487162805e-01 -2.299938862545546914e-01
1.600000080552887449e-01 -2.402552233366174461e-01
1.679999990754725558e-01 -2.313919725082576317e-01
1.760000015378278548e-01 -2.375586352684294356e-01
1.840000040001831538e-01 -2.607044795309659269e-01
1.919999950203669647e-01 -2.608838305433434646e-01
2.000000089248937796e-01 -2.567920088375267862e-01
