# r	c(r)	err
2.197745360465116260e+00 6.592271298542329294e-02 4.402254531628119194e-02
2.314138556767618482e+00 7.679542210250481227e-02 1.198055934463915402e-02
2.430965914820285345e+00 1.125303838567243836e-02 7.845128197502802131e-03
2.558484889853274158e+00 7.931465280659012046e-03 8.299684078538210538e-03
2.689521236139138516e+00 1.209106339087363292e-02 1.089598758311396097e-02
2.819899191552660778e+00 2.973700554389182692e-03 1.724650685820847476e-02
2.950726716318785137e+00 2.000640852864987718e-02 3.080205518168487380e-02
3.086009533333385235e+00 9.313945373081777834e-02 5.634361698190110124e-02
3.221599185714148827e+00 1.020860059229887311e-02 1.195228609334393621e-01
3.390711907692065541e+00 4.972309031838029192e-02 1.240347345892084674e-01
3.524447963938955652e+00 -9.486887405354275937e-02 3.724194613619293687e-02
3.649129853231926290e+00 2.025157590865801077e-02 1.949943939917579347e-02
3.781741184728339089e+00 3.171273731891932623e-02 1.211787432351116300e-02
3.911649797645285975e+00 2.692965557587908426e-02 8.715445034514254785e-03
4.041489736382484210e+00 9.406524834496081053e-03 7.387773305339741595e-03
4.172903558318331818e+00 1.943994846628074175e-02 7.384348329462226378e-03
4.305347622775586025e+00 3.166836963167566493e-02 8.148684704723742692e-03
4.440256844285739746e+00 9.254425139427615438e-03 9.166984970282112885e-03
4.578012883289337864e+00 2.272850799250065654e-02 9.378205989492576986e-03
4.714711062432392019e+00 1.168248817933128895e-02 8.490751179843290808e-03
4.847062091662412087e+00 1.449628000799723683e-02 7.508193093327621484e-03
4.979362446761327554e+00 1.455376545895709474e-03 7.265669191048383484e-03
5.112059056044013339e+00 2.739364652324278462e-04 7.605057523922030896e-03
5.244762732933033966e+00 1.877712006731051264e-02 8.454864754000219335e-03
5.380002443198538487e+00 2.372618953446490112e-03 9.587062360592129434e-03
5.516764934326165992e+00 9.801982976652386451e-03 1.035061373196009306e-02
5.654127634139388014e+00 1.078028580520237409e-02 9.681853268597943180e-03
5.789261575672644433e+00 9.727449904703124040e-03 8.170687293603670284e-03
5.922391313175912053e+00 2.503244708844633119e-03 6.886895548638457230e-03
6.055619490293485008e+00 -5.773337399186522292e-03 6.181796928734696606e-03
6.188934551770124415e+00 4.455401977439015469e-03 5.776487982086297990e-03
6.322285620885511825e+00 -1.304117348875778910e-02 5.572436022463081798e-03
6.455668221576982724e+00 1.274871622405066886e-02 5.602614565920163714e-03
6.589441424140467518e+00 5.534142193196874872e-03 5.744281183655701277e-03
6.723684728561377888e+00 6.092937611331304898e-04 5.938091519046793769e-03
6.859170581298240421e+00 -4.101131617774040304e-03 6.078269310896848923e-03
6.993226082465504589e+00 -1.235210837213003825e-03 6.077034586136971679e-03
7.128224375715562111e+00 1.943587447941544409e-03 5.944593042780278204e-03
7.261790846481648742e+00 -5.558600506605564052e-04 5.815034669558113989e-03
7.396296992339852494e+00 3.850769558536487006e-03 5.697288963364030047e-03
7.530242137648592404e+00 -3.243740464267171313e-03 5.713259751592173960e-03
7.664519229056997673e+00 4.534561526299909356e-03 5.683928761584628245e-03
7.799121728808694698e+00 4.547801759490118119e-03 5.588598371428797618e-03
7.934496836130249697e+00 -5.539436113052312533e-04 5.328731296714682084e-03
