# r	c(r)	err
2.172923811428571383e+00 1.502736331992835794e-01 7.559289460184544229e-02
2.294608400349990696e+00 8.287008406114142189e-02 1.394414010830021325e-02
2.408478232447766487e+00 4.404823276598705123e-02 7.385959489319823476e-03
2.534733035827028136e+00 1.443851344192923630e-02 7.078681489019649289e-03
2.665410789477874243e+00 3.370835815303601518e-02 8.914723994723006487e-03
2.795299988864540452e+00 3.663620668333059799e-02 1.351104641837410324e-02
2.926266988997552332e+00 9.052296574406886245e-03 2.472340882170743701e-02
3.062657188328782087e+00 7.845863297125926783e-02 5.150262026246047592e-02
3.197811060241095404e+00 6.510005976880242629e-02 1.097642599896903465e-01
3.338395590909799093e+00 7.711082775029932945e-02 2.132007163556104146e-01
3.505081049707593710e+00 1.246127690330191273e-02 5.407380704358751705e-02
3.631803714151379925e+00 7.105385915520352758e-02 2.168284449008030940e-02
3.761910523876617507e+00 3.760784515948478041e-02 1.251271468581128220e-02
3.892930160756485236e+00 3.018060017342295495e-02 8.338546554570998998e-03
4.024123227784328627e+00 1.659018442328422452e-02 6.736794929202352157e-03
4.155391653839769717e+00 1.450870686932518965e-02 6.446382789117458510e-03
4.288221099452495189e+00 1.954725605206708572e-02 7.087209595909123826e-03
4.423052006334065034e+00 2.726431122902179399e-02 8.080824570620988301e-03
4.560855006591244099e+00 5.532123277097926971e-03 8.654522314815569009e-03
4.699360341576410249e+00 1.972373693853302426e-02 7.912373034012112893e-03
4.832847258553315761e+00 1.283788477839449375e-02 6.902956962703272158e-03
4.965832133668289572e+00 6.272337819835519142e-03 6.443973176527738149e-03
5.098742819374665558e+00 5.120317286723774161e-03 6.580656555902173951e-03
5.231395353500578160e+00 1.014648406522017376e-02 7.330188542570800422e-03
5.365570703600100799e+00 3.848940891197344134e-03 8.580293617523208904e-03
5.502873630310938680e+00 6.974254801783857233e-03 9.663301739273631036e-03
5.642224201784631354e+00 6.529400455001939212e-03 9.399309927996700106e-03
5.779269195547887428e+00 9.439343955450237370e-03 7.841750524290145782e-03
5.912938674075256529e+00 5.135959231565293687e-03 6.421480590382635384e-03
6.046789954554038893e+00 -4.853769095063703402e-03 5.608074261085644642e-03
6.180490273300905280e+00 3.556811192978806546e-03 5.203677176795586286e-03
6.314291980082920475e+00 5.892070590653338859e-03 4.967936086840293690e-03
6.448733065176672774e+00 -1.508252529854017723e-03 4.969653525349157497e-03
6.583330408588230931e+00 8.064411882826543268e-03 5.083022996014029474e-03
6.717568541410077643e+00 8.442326757635201101e-04 5.278018674328135637e-03
6.852993242950521591e+00 6.454935686987036021e-03 5.500486814625595022e-03
6.988059574604839064e+00 4.633415333440649110e-04 5.545466507176193167e-03
7.124033585385211254e+00 3.633175734205306567e-03 5.420551846773425698e-03
7.259127783098095144e+00 -6.345333302786106827e-03 5.245821563990671343e-03
7.393317607536250335e+00 2.496571760845671568e-03 5.120736521390452378e-03
7.528174442778445830e+00 4.441395240255848853e-04 5.111029209101735499e-03
7.662243200834561563e+00 7.464341803868030506e-03 5.139232011492771666e-03
7.798522003495659938e+00 9.395965355941402267e-04 5.107494771747574450e-03
7.933837809790629692e+00 -2.013047020183906209e-03 4.903433826670780017e-03
