# mu	p(mu)	err
-6.238404592739220789e+02 1.102045910897239010e-06 6.362665033158473491e-07
-5.701352501938215482e+02 1.469394547862985418e-06 7.346972739314927088e-07
-5.164300411137210176e+02 3.673486369657459415e-06 1.161658388170082379e-06
-4.627248320336204301e+02 3.673486369657463226e-06 1.161658388170083650e-06
-4.090196229535198995e+02 1.028576183504090957e-05 1.943826275739829542e-06
-3.553144138734194257e+02 1.432659684166410692e-05 2.294091502565465715e-06
-3.016092047933188951e+02 2.902054232029395813e-05 3.265066104287437404e-06
-2.479039957132183645e+02 6.575540601686860056e-05 4.914789799515938665e-06
-1.941987866331178338e+02 1.388577847730521140e-04 7.142073786265699172e-06
-1.404935775530173032e+02 3.772670501638214794e-04 1.177236325678780740e-05
-8.678836847291677259e+01 1.300414174858742023e-03 2.185647214500305858e-05
-3.308315939281624196e+01 4.379897798542593812e-03 4.011171258303358446e-05
2.062204968728428867e+01 7.166237209927778934e-03 5.130796693731084129e-05
7.432725876738481929e+01 3.768629666631591411e-03 3.720753917240146667e-05
1.280324678474853499e+02 1.010576100292770192e-03 1.926742725411748552e-05
1.817376769275857669e+02 2.520011649585019516e-04 9.621449187169564695e-06
2.354428860076862975e+02 6.318396555810837020e-05 4.817732207778030355e-06
2.891480950877868281e+02 1.873478048525306381e-05 2.623393999213647638e-06
3.428533041678873587e+02 6.612275465383433638e-06 1.558528273548686929e-06
3.965585132479878894e+02 4.775532280554702025e-06 1.324494346551804708e-06
4.502637223280884200e+02 7.346972739314927088e-07 5.195094245162289409e-07
5.039689314081889506e+02 1.836743184828731613e-06 8.214165236973008085e-07
