# mu	p(mu)	err
-1.286746187364961770e+03 3.577820060873326330e-07 2.529900826908795355e-07
-1.066181318054907933e+03 7.155640121746652660e-07 3.577820060873326330e-07
-9.558988833998810151e+02 7.155640121746652660e-07 3.577820060873326330e-07
-8.456164487448540967e+02 3.577820060873319448e-07 2.529900826908790061e-07
-6.250515794348000327e+02 1.610019027392996954e-06 5.366730091309989495e-07
-5.147691447797731144e+02 3.220038054785993909e-06 7.589702480726387123e-07
-4.044867101247461960e+02 5.008948085222657286e-06 9.466022116808796453e-07
-2.942042754697192777e+02 1.699464528914826396e-05 1.743613816803206463e-06
-1.839218408146921320e+02 8.926661051878950369e-05 3.996122307189126657e-06
-7.363940615966521364e+01 3.702685980997805822e-03 2.573668994055799560e-05
3.664302849536170470e+01 5.181041230150664097e-03 3.044407434086710945e-05
1.469254631503886230e+02 5.134171787353223400e-05 3.030605782410690545e-06
2.572078978054155414e+02 7.871204133921319197e-06 1.186628670932334272e-06
3.674903324604424597e+02 2.325583039567662220e-06 6.450006841931235235e-07
4.777727671154693780e+02 1.610019027392996954e-06 5.366730091309989495e-07
5.880552017704962964e+02 8.944550152183278767e-07 4.000124433687579784e-07
6.983376364255236695e+02 8.944550152183315825e-07 4.000124433687596195e-07
