# mu	p(mu)	err
-6.382361990992164920e+02 1.554301143497392469e-06 8.973761835999627309e-07
-5.620790061276792358e+02 1.036200762331594909e-06 7.327045857153408163e-07
-4.478432166703732946e+02 2.072401524663189817e-06 1.036200762331594909e-06
-4.097646201846046097e+02 1.554301143497395010e-06 8.973761835999642132e-07
-3.716860236988359816e+02 4.144803049326386411e-06 1.465409171430683962e-06
-3.336074272130673535e+02 4.662903430492184395e-06 1.554301143497394798e-06
-2.955288307272987254e+02 1.036200762331596476e-05 2.317015342910553188e-06
-2.574502342415300973e+02 1.813351334080291080e-05 3.065123190631179456e-06
-2.193716377557614123e+02 3.367652477577689097e-05 4.177058812450389740e-06
-1.812930412699927842e+02 7.408835450670915742e-05 6.195579449080836498e-06
-1.432144447842241561e+02 1.647559212107236064e-04 9.239053283675661480e-06
-1.051358482984554712e+02 4.181070076007997911e-04 1.471806373155334502e-05
-6.705725181268689994e+01 1.179196467533355107e-03 2.471724376419007441e-05
-2.897865532691821500e+01 3.491996569057475002e-03 4.253474760073620994e-05
9.099941158850469947e+00 7.304179173675434331e-03 6.151664826682719397e-05
4.717853764461904120e+01 7.719177578989216623e-03 6.324008891487101474e-05
8.525713413038772615e+01 3.868655546165021553e-03 4.476998897774356204e-05
1.233357306161562974e+02 1.335144682264260193e-03 2.630093094916225379e-05
1.614143271019249823e+02 4.175889072196327921e-04 1.470894190623855251e-05
1.994929235876936673e+02 1.310793964349471626e-04 8.240891047449238723e-06
2.375715200734622385e+02 4.559283354259018191e-05 4.860212385981164848e-06
2.756501165592309235e+02 1.813351334080291080e-05 3.065123190631179456e-06
3.137287130449996084e+02 7.253405336321187019e-06 1.938554118279406695e-06
3.518073095307681797e+02 5.699104192823772739e-06 1.718344568067065971e-06
3.898859060165368646e+02 1.554301143497392469e-06 8.973761835999627309e-07
