# Temp    T_ave      vol_med   vol2_med   std_vol   E_med   E2_med  std_E  
  300  0  7.07379388342762  50.038559905218  -7.105427357601e-15  -4.00736631544367  16.0589847861526  2.8421709430404e-14
  350  0  7.07379388342762  50.038559905218  -7.105427357601e-15  -4.00736631544367  16.0589847861526  2.8421709430404e-14
  400  0  7.07379388342762  50.038559905218  -7.105427357601e-15  -4.00736631544367  16.0589847861526  2.8421709430404e-14
  450  0  7.07379388342762  50.038559905218  -7.105427357601e-15  -4.00736631544367  16.0589847861526  2.8421709430404e-14
  500  0  7.07379388342762  50.038559905218  -7.105427357601e-15  -4.00736631544367  16.0589847861526  2.8421709430404e-14
  550  0  7.07379388342762  50.038559905218  -7.105427357601e-15  -4.00736631544367  16.0589847861526  2.8421709430404e-14
  600  0  7.07379388342762  50.038559905218  -7.105427357601e-15  -4.00736631544367  16.0589847861526  2.8421709430404e-14
  650  0  7.07379388342762  50.038559905218  -7.105427357601e-15  -4.00736631544367  16.0589847861526  2.8421709430404e-14
  700  0  7.07379388342762  50.038559905218  -7.105427357601e-15  -4.00736631544367  16.0589847861526  2.8421709430404e-14
  750  0  7.07379388342762  50.038559905218  -7.105427357601e-15  -4.00736631544367  16.0589847861526  2.8421709430404e-14
  800  0  7.07379388342762  50.038559905218  -7.105427357601e-15  -4.00736631544367  16.0589847861526  2.8421709430404e-14
  850  0  7.07379388342762  50.038559905218  -7.105427357601e-15  -4.00736631544367  16.0589847861526  2.8421709430404e-14
  900  0  7.07379388342762  50.038559905218  -7.105427357601e-15  -4.00736631544367  16.0589847861526  2.8421709430404e-14
  950  0  7.07379388342762  50.038559905218  -7.105427357601e-15  -4.00736631544367  16.0589847861526  2.8421709430404e-14
  1000  0  7.07379388342762  50.038559905218  -7.105427357601e-15  -4.00736631544367  16.0589847861526  2.8421709430404e-14
  1050  0  7.07379388342762  50.038559905218  -7.105427357601e-15  -4.00736631544367  16.0589847861526  2.8421709430404e-14
  1100  0  7.07379388342762  50.038559905218  -7.105427357601e-15  -4.00736631544367  16.0589847861526  2.8421709430404e-14
  1150  0  7.07379388342762  50.038559905218  -7.105427357601e-15  -4.00736631544367  16.0589847861526  2.8421709430404e-14
