# r	c(r)	err
2.148580349593496308e+00 1.064249326132524764e-01 6.375767130633382129e-02
2.265447321436901973e+00 5.997335206391542217e-02 1.527296154408290182e-02
2.387382211094747131e+00 1.994761869670391013e-02 8.374434025150702746e-03
2.513990394375935633e+00 1.121978891428417578e-02 7.591021184770614487e-03
2.644340817541787292e+00 1.894514053526198324e-02 9.210039995146020869e-03
2.775928835204632961e+00 5.431271261214374452e-03 1.345710989001035716e-02
2.909390717166192353e+00 1.120987357458988302e-02 2.334435966278353494e-02
3.042583326359825424e+00 6.860033455667039664e-04 4.573893537463482456e-02
3.182476304000010803e+00 6.254890212969257610e-03 8.944271909999158832e-02
3.321350716980819850e+00 1.247392907259407685e-01 1.373605639486890351e-01
3.488036090909119036e+00 2.028962252263406124e-02 5.504818825631803414e-02
3.614318198521664804e+00 2.218374063111282213e-02 2.297788294296614769e-02
3.744425614038216388e+00 4.138532583254758701e-02 1.336425538598352489e-02
3.877718570723297287e+00 1.767381453685829690e-02 8.852331026077322335e-03
4.008092140256793279e+00 1.150906075152737136e-02 7.180877222148774643e-03
4.139939096331370472e+00 4.552528463962065078e-03 6.880209161537815220e-03
4.272609041755000447e+00 1.348609352574790636e-02 7.568160218073548794e-03
4.408780905340950795e+00 1.910511790764719137e-02 8.772604873992896971e-03
4.547411298546344405e+00 4.246393428782099452e-03 9.166599827119946420e-03
4.685631062941596703e+00 1.186884211075193291e-02 8.491057257642271872e-03
4.820226492865863577e+00 -2.529459158998740350e-03 7.436640159140579624e-03
4.953713879617440696e+00 -2.848487445568351119e-03 6.985495705132572543e-03
5.087611982872113359e+00 3.857489282527265442e-03 7.087209595909123826e-03
5.221288840580517565e+00 -1.874444611849715447e-02 7.728519929987041036e-03
5.356152510705289416e+00 1.309571754351794570e-02 8.760141628106603989e-03
5.494273013606121303e+00 3.872951927967111050e-03 9.893718691067561813e-03
5.633156182503915588e+00 -7.301195688222632436e-03 9.591030059529393956e-03
5.770684047871633027e+00 -1.115891133972596837e-02 8.092458510324465268e-03
5.904693570842781902e+00 -5.134037989906773021e-03 6.749673070628270030e-03
6.038478810240023975e+00 -8.600906996626451681e-03 5.998356675375585145e-03
6.172824355827527754e+00 -4.455281388163512789e-03 5.601120336112038606e-03
6.307396943100858522e+00 -3.919293564312831615e-03 5.359330785703400601e-03
6.442496069159393102e+00 -1.167347912694606353e-02 5.369209744844471478e-03
6.577568974476220021e+00 -1.953107763384382897e-02 5.447832098833079416e-03
6.712890836402254813e+00 -9.203090119006157935e-03 5.629627652696259782e-03
6.848705486271625453e+00 -1.141181548497031441e-03 5.829343218083875462e-03
6.984361742196101730e+00 2.961898891779211375e-03 5.863312872752432688e-03
7.120197602296094885e+00 -5.953996047747982245e-03 5.751877935217761598e-03
7.255734651666375434e+00 -6.354378773151692777e-03 5.572868661653061252e-03
7.390903732595640818e+00 -9.294423573444570916e-03 5.498075323257202093e-03
7.526225202577365714e+00 -7.879984281962196246e-03 5.393442001857090898e-03
7.661409213186533229e+00 -5.332984535320274035e-03 5.419278146034048164e-03
7.797789412070258663e+00 5.137718748822588674e-04 5.284647595578748601e-03
7.933257197579608011e+00 -2.828453501127671781e-03 5.085059845340899991e-03
