# gamma	percentage
0.000000000000000000e+00 1.029829545454545503e+01
8.000000339825966145e-03 1.047387941919191867e+01
1.600000067965193229e-02 1.038115530303030276e+01
2.399999987141720331e-02 1.030421401515151558e+01
3.200000135930386458e-02 1.032591540404040487e+01
4.000000055106913560e-02 1.040088383838383912e+01
4.799999859477371150e-02 1.033972537878787890e+01
5.600000123072106789e-02 1.031605113636363669e+01
6.400000271860772916e-02 1.014835858585858652e+01
7.200000420649439736e-02 1.001815025252525260e+01
8.000000110213827120e-02 1.008325441919191867e+01
8.800000144196422347e-02 9.917534722222221433e+00
9.599999718954742300e-02 9.771543560606060552e+00
1.040000044177375599e-01 9.690656565656565746e+00
1.120000013133814337e-01 9.475615530303031164e+00
1.199999970609646333e-01 9.268465909090908283e+00
1.280000042891547563e-01 9.181660353535352925e+00
1.360000000367379558e-01 9.110637626262626299e+00
1.440000072649280649e-01 8.860085227272726627e+00
1.520000030125112644e-01 8.759469696969697239e+00
1.599999999081551660e-01 8.881786616161615910e+00
1.680000071363453029e-01 8.992266414141413478e+00
1.760000028839284747e-01 8.944917929292929060e+00
1.839999986315116742e-01 8.696338383838384090e+00
1.919999955271555481e-01 8.866003787878787179e+00
2.000000130878919202e-01 8.929135101010100328e+00
