# s	p(s)	error
1.000000000000000000e+00 1.359466975321371951e+00 4.142483720437475231e-02
1.804721766827170226e+00 1.797528668612521363e-01 1.121267576628525407e-02
2.424462017082328114e+00 6.508000641937826403e-02 5.820932733194099200e-03
3.257020655659783159e+00 3.449232364955492902e-02 3.656178994502145944e-03
4.375479375074184496e+00 2.163657831881540122e-02 2.498376863342098401e-03
5.878016072274911963e+00 2.641358200931290257e-02 2.381632484059542729e-03
7.896522868499724623e+00 2.173982128766696956e-02 1.864174296042939855e-03
1.060818355139448244e+01 1.249399224772963779e-02 1.219288794597776261e-03
1.425102670302997687e+01 5.845891363160706997e-03 7.195794839946552564e-04
1.914481976169957633e+01 3.758170959729620775e-03 4.977819039544071874e-04
2.571913809059344302e+01 2.601192050281698510e-03 3.573012069655407612e-04
3.455107294592217926e+01 1.644008028277350484e-03 2.450742471189034841e-04
4.641588833612777165e+01 6.254810089736020234e-04 1.304218060899585668e-04
6.235507341273912374e+01 4.251091556779023305e-04 9.276642307203588613e-05
8.376776400682915380e+01 2.712367554853756507e-04 6.393111637024888121e-05
1.125335582600764610e+02 1.458190483957025872e-04 4.044292737923620596e-05
1.511775070615661605e+02 5.844721463739979754e-05 2.209097067928200603e-05
2.030917620904734804e+02 1.864583796145906328e-05 1.076517956631453347e-05
2.728333376486766610e+02 2.313265746701861399e-05 1.034523891929434385e-05
4.923882631706736674e+02 7.690711518713760331e-06 4.440234365589145615e-06
6.614740641230146139e+02 3.816542771803398940e-06 2.698703274630685390e-06
