# s	p(s)	error
1.000000000000000000e+00 1.216013077395368791e+00 3.656458781024163329e-02
1.811609194200414219e+00 1.681118670561536632e-01 1.010086314450008536e-02
2.438354098268828540e+00 6.989048311273361735e-02 5.613738694248132134e-03
3.281927872511474220e+00 3.986585177430473220e-02 3.654496640425460192e-03
4.417344703140069662e+00 2.289863821500795482e-02 2.387348065053662184e-03
5.945570708544391181e+00 4.012816531745565934e-02 2.724077361874933760e-03
8.002502278161049531e+00 1.126603677309185626e-02 1.244125633667873170e-03
1.077105056036769071e+01 1.204500712755968150e-02 1.108832783403583457e-03
1.449740670372631612e+01 6.825513113708646731e-03 7.194722546222389551e-04
1.951293422635963282e+01 4.733036176326932583e-03 5.164165844043458898e-04
2.626363527653332852e+01 2.386179638442074806e-03 3.160572140886295416e-04
3.534981105030105653e+01 2.146076072745899382e-03 2.583571988044723621e-04
4.757944314009409226e+01 1.016755288928395794e-03 1.532816271356765721e-04
6.404004271197280218e+01 4.292116627374164672e-04 8.584233254748329343e-05
8.619535664753031767e+01 3.826665511913317111e-04 6.986503403006592481e-05
1.160155301739971492e+02 1.800613867078609061e-04 4.130891517333491942e-05
1.561523006000496423e+02 1.196971066953154544e-04 2.903081258738896936e-05
2.101748011332487067e+02 5.231213840284236526e-05 1.654255066269447785e-05
2.828869434625969461e+02 2.720622311431736574e-05 1.028298578197441870e-05
3.807546021222372019e+02 1.443803072161251455e-05 6.456883630951184202e-06
5.124805876960931528e+02 4.290774538446462838e-06 3.034035772678072153e-06
6.897785379387657940e+02 4.781836204353660969e-06 2.760794419804284547e-06
