# mu	p(mu)	err
1.000000000000000000e+00 1.163525480258142952e+00 3.387153626309242355e-02
1.823348000868441066e+00 1.746734299241878841e-01 9.719089626218976180e-03
2.462092401494625715e+00 8.009760657179777754e-02 5.663756076373037927e-03
3.324597932270940692e+00 4.003948927410447278e-02 3.446050558872380647e-03
4.489251258218605045e+00 4.744317324851866219e-02 3.228099062148103403e-03
6.061898993497572441e+00 2.374860210848183176e-02 1.965448295105417381e-03
8.185467307069027143e+00 1.650330705229171094e-02 1.409972675777644785e-03
1.105295141126021541e+01 9.634726385516254044e-03 9.271019787076998980e-04
1.492495545051828998e+01 7.333373864366995315e-03 6.960530439206335943e-04
2.015337685941733170e+01 4.794818151223477487e-03 4.843497756123522511e-04
2.721338768375307282e+01 1.920379901417329505e-03 2.637844662544122296e-04
3.674661940736687882e+01 1.449006253056143827e-03 1.971847752272061201e-04
4.961947603002902696e+01 9.936003173380044805e-04 1.405163044357617098e-04
6.700187503509586406e+01 3.237647890548343691e-04 6.902688495721379124e-05
9.047357242349298190e+01 2.288713581188014977e-04 4.994382490413113340e-05
1.221677348996791892e+02 1.129966075545146869e-04 3.019961366691043241e-05
1.649648074098020629e+02 6.574992653774742828e-05 1.982434875628540894e-05
2.227542951999556351e+02 8.853149535963171119e-06 6.260122071738094046e-06
3.007882518043098798e+02 1.639090849919817741e-05 7.330237123437235672e-06
4.061585988376979799e+02 9.710872013182936748e-06 4.855436006591468374e-06
5.484416576121014941e+02 5.393674216241125064e-06 3.114039260667957337e-06
7.405684692262434510e+02 2.662923371884499039e-06 1.882971174039675714e-06
