# x	c(x)
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.000000000000000666e+00+0.000000000000000000e+00j)
 (1.175305882352940756e+00+0.000000000000000000e+00j)  (7.114541217017332775e-01-5.173154678450515117e-18j)
 (2.350611764705881512e+00+0.000000000000000000e+00j)  (3.451398203597368375e-01+1.314861136787782009e-17j)
 (3.525917647058822268e+00+0.000000000000000000e+00j)  (2.220586364393451473e-01+2.002268446419560535e-18j)
 (4.701223529411763025e+00+0.000000000000000000e+00j)  (2.160895536635878689e-01+1.880722293740719275e-17j)
 (5.876529411764703781e+00+0.000000000000000000e+00j)  (1.932643749018535251e-01+1.225418989814379536e-17j)
 (7.051835294117644537e+00+0.000000000000000000e+00j)  (1.607676729953634309e-01+7.155615819570184321e-18j)
 (8.227141176470585293e+00+0.000000000000000000e+00j)  (1.354532846401462209e-01+2.739321725346348881e-17j)
 (9.402447058823526049e+00+0.000000000000000000e+00j)  (1.135785234183111919e-01+2.482549319234506070e-17j)
 (1.057775294117646681e+01+0.000000000000000000e+00j)  (9.118503560462448698e-02+5.543478333165852789e-18j)
 (1.175305882352940756e+01+0.000000000000000000e+00j)  (6.914719322271153934e-02+2.154183574776272838e-17j)
 (1.292836470588234832e+01+0.000000000000000000e+00j)  (5.071355195558995693e-02+2.283112550900146767e-17j)
 (1.410367058823528907e+01+0.000000000000000000e+00j)  (3.671274168928548992e-02-2.313283075159815583e-18j)
 (1.527897647058822983e+01+0.000000000000000000e+00j)  (2.446606036576417717e-02+2.660084315165983719e-17j)
 (1.645428235294117059e+01+0.000000000000000000e+00j)  (1.340987645875615399e-02+2.577885666438172731e-17j)
 (1.762958823529411134e+01+0.000000000000000000e+00j)  (2.387694638980703953e-03-1.318672627203439539e-18j)
 (1.880489411764705210e+01+0.000000000000000000e+00j)  (-1.023802398135665453e-02+2.391871694452579571e-17j)
 (1.998019999999999285e+01+0.000000000000000000e+00j)  (-2.277781911414033730e-02+2.276982505437733978e-17j)
 (2.115550588235293361e+01+0.000000000000000000e+00j)  (-3.398308470565952061e-02-7.180728289918563073e-19j)
 (2.233081176470587437e+01+0.000000000000000000e+00j)  (-4.421965144325906705e-02+2.229400964900617007e-17j)
 (2.350611764705881512e+01+0.000000000000000000e+00j)  (-5.462753888372652578e-02+1.570911088608197553e-17j)
 (2.468142352941175588e+01+0.000000000000000000e+00j)  (-6.615099763505646879e-02-2.982597271637573726e-18j)
 (2.585672941176469664e+01+0.000000000000000000e+00j)  (-7.673055486379698475e-02+9.573957601621997045e-18j)
 (2.703203529411763739e+01+0.000000000000000000e+00j)  (-8.336645077534032833e-02+1.167777066937135234e-17j)
 (2.820734117647057815e+01+0.000000000000000000e+00j)  (-8.455936384014330065e-02-5.994741589981668681e-18j)
 (2.938264705882351890e+01+0.000000000000000000e+00j)  (-8.414864745047992423e-02+2.642573802919585211e-19j)
 (3.055795294117645966e+01+0.000000000000000000e+00j)  (-8.623020228735367443e-02+3.208430732906146677e-18j)
 (3.173325882352940042e+01+0.000000000000000000e+00j)  (-9.048602395853461156e-02-5.079199714309153558e-18j)
 (3.290856470588234117e+01+0.000000000000000000e+00j)  (-9.369103944111607796e-02-6.956299876476357399e-18j)
 (3.408387058823528548e+01+0.000000000000000000e+00j)  (-9.384025683286485731e-02-8.695211436602191416e-18j)
 (3.525917647058822268e+01+0.000000000000000000e+00j)  (-9.293210253618953975e-02-5.015563828373018246e-18j)
 (3.643448235294115989e+01+0.000000000000000000e+00j)  (-9.378819158801404710e-02-1.372504466633311337e-17j)
 (3.760978823529410420e+01+0.000000000000000000e+00j)  (-9.499434926263240764e-02-1.478307410289217549e-17j)
 (3.878509411764704851e+01+0.000000000000000000e+00j)  (-9.433250932437819980e-02-2.900021166185386960e-18j)
 (3.996039999999998571e+01+0.000000000000000000e+00j)  (-9.288628990629083093e-02-9.936549117468632029e-18j)
