# s	p(s)	error
1.000000000000000000e+00 1.213420130958372312e+00 3.868242093306622359e-02
1.811609194200414219e+00 1.749382205001346058e-01 1.091234637783546589e-02
2.438354098268828540e+00 6.877937601579661719e-02 5.897782836846863358e-03
3.281927872511474220e+00 4.809467946867681393e-02 4.251009248911849503e-03
4.417344703140069662e+00 2.624113772222351135e-02 2.706566697270440698e-03
5.945570708544391181e+00 3.816281235354258838e-02 2.813399852889296362e-03
8.002502278161049531e+00 1.217355387621858048e-02 1.369631817740462427e-03
1.077105056036769071e+01 1.316606131019970247e-02 1.227741547734798782e-03
1.449740670372631612e+01 6.549625977187061195e-03 7.463991519552569918e-04
1.951293422635963282e+01 3.475811422862794785e-03 4.686783166484524005e-04
2.626363527653332852e+01 2.723260909742862990e-03 3.575816758046582102e-04
3.534981105030105653e+01 1.465137185292431608e-03 2.260755758446523773e-04
4.757944314009409226e+01 8.293669421634355943e-04 1.466127472239291195e-04
6.404004271197280218e+01 4.621423049843008564e-04 9.433440298043502714e-05
8.619535664753031767e+01 2.432098431796670735e-04 5.898705133056907741e-05
1.160155301739971492e+02 1.700669608963414122e-04 4.251674022408535305e-05
1.561523006000496423e+02 7.897101322575394739e-05 2.497282709246633105e-05
2.101748011332487067e+02 4.107083118718037442e-05 1.552331506571356343e-05
2.828869434625969461e+02 3.051414699980390343e-05 1.153326349010697400e-05
3.807546021222372019e+02 3.238701601290043091e-05 1.024167372171106001e-05
5.124805876960931528e+02 7.218715611076632769e-06 4.167727401258448076e-06
6.897785379387657940e+02 5.363245469814751080e-06 3.096471215727587537e-06
9.284145445194744752e+02 2.656465362097687278e-06 1.878404671526451929e-06
