# mu	p(mu)	err
-2.054079036953719879e+03 3.776049759198568571e-07 2.180103344946715279e-07
-1.897339560953891805e+03 3.776049759198568571e-07 2.180103344946715279e-07
-1.583860608954235659e+03 3.776049759198568571e-07 2.180103344946715279e-07
-1.427121132954407585e+03 6.293416265330947618e-07 2.814501315996570488e-07
-1.270381656954579512e+03 7.552099518397137141e-07 3.083131717798594768e-07
-1.113642180954751439e+03 8.810782771463313959e-07 3.330162867014910090e-07
-9.569027049549231378e+02 2.013893204905906202e-06 5.034733012264765506e-07
-8.001632289550952919e+02 2.643234831439001705e-06 5.768011283149078898e-07
-6.434237529552674459e+02 4.279523060425038239e-06 7.339321499476333778e-07
-4.866842769554391452e+02 6.545152915944175782e-06 9.076494016995912479e-07
-3.299448009556108445e+02 3.423618448340040078e-05 2.075873600635180109e-06
-1.732053249557829986e+02 5.806305846394340352e-04 8.548859532731177221e-06
-1.646584895595515263e+01 5.638775105411214864e-03 2.664100559848975503e-05
1.402736270438731481e+02 9.150627249791185014e-05 3.393779791672298602e-06
2.970131030437014488e+02 1.057293932575600682e-05 1.153602256629815780e-06
4.537525790435292947e+02 3.398444783278716478e-06 6.540310034840154043e-07
6.104920550433571407e+02 1.006946602452950137e-06 3.560093854436177984e-07
7.672315310431854414e+02 3.776049759198563277e-07 2.180103344946712103e-07
