# r	g(r)	err
2.797979797979798011e+00 1.564688267517125864e+00 1.509681218286464816e-02
2.818181818181818343e+00 1.392725553142139638e+00 1.414098549466469810e-02
2.838383838383838231e+00 1.272758114623177228e+00 1.342201517520148941e-02
2.858585858585858563e+00 1.142354996196339956e+00 1.262598343787945006e-02
2.878787878787878896e+00 1.013547742582457944e+00 1.180941415247860338e-02
2.898989898989898784e+00 9.044899216384297835e-01 1.107824785376166146e-02
2.919191919191919560e+00 8.261771053503990103e-01 1.051452948645521454e-02
2.939393939393939448e+00 7.755289695698955876e-01 1.011712537102310051e-02
2.959595959595959780e+00 6.868655937253486110e-01 9.456259222567686348e-03
2.979797979797980112e+00 6.393123241816156543e-01 9.061198207029077384e-03
3.000000000000000000e+00 5.645917135056395253e-01 8.457887586361415022e-03
3.020202020202020332e+00 5.353114126783470317e-01 8.180562575420517388e-03
3.040404040404040664e+00 4.823318962116970310e-01 7.713608695394808847e-03
3.060606060606060552e+00 4.642988926798966576e-01 7.518086246066740981e-03
3.080808080808080884e+00 4.229073187100499953e-01 7.128101402725355203e-03
3.101010101010101216e+00 3.920381349773361945e-01 6.818312307401796710e-03
3.121212121212121104e+00 3.710603240968384786e-01 6.590447252666071370e-03
3.141414141414141437e+00 3.547478839723199329e-01 6.402515313506624423e-03
3.161616161616161769e+00 3.481753897273028309e-01 6.302397711252378555e-03
3.181818181818181657e+00 3.282242435214647314e-01 6.080312244629272611e-03
3.202020202020201989e+00 3.265425222828975405e-01 6.026452216215713587e-03
3.222222222222222321e+00 3.040093465383423288e-01 5.778350652687619035e-03
3.242424242424242653e+00 3.089101201328697810e-01 5.788448102277608115e-03
3.262626262626262985e+00 3.087387546435623742e-01 5.751010490181192487e-03
3.282828282828282873e+00 3.060087063209331881e-01 5.690293121067589895e-03
3.303030303030303205e+00 2.985141443964061669e-01 5.585805540033047037e-03
3.323232323232323537e+00 3.029497021211742247e-01 5.592944053159150559e-03
3.343434343434343425e+00 3.152134265803293034e-01 5.670553710528158931e-03
3.363636363636363757e+00 3.203078940439764710e-01 5.681862185403918110e-03
3.383838383838384090e+00 3.190840601442407332e-01 5.637140454945284256e-03
3.404040404040403978e+00 3.243617370192448668e-01 5.649838268857086676e-03
3.424242424242424310e+00 3.304655515121706633e-01 5.669105081390734234e-03
3.444444444444444642e+00 3.350586551406095626e-01 5.674886104251181985e-03
3.464646464646464530e+00 3.446523582857327628e-01 5.721996862143939599e-03
3.484848484848484862e+00 3.615136962573735069e-01 5.826320765077754905e-03
3.505050505050505194e+00 3.777788809783448332e-01 5.921619136465872818e-03
3.525252525252525526e+00 3.795175750160328376e-01 5.901217577255790311e-03
3.545454545454545414e+00 4.004241958626106324e-01 6.027041025526896911e-03
3.565656565656565746e+00 4.125823423072166318e-01 6.083194762474539337e-03
3.585858585858586078e+00 4.299402664287290676e-01 6.174855737428539167e-03
3.606060606060606410e+00 4.475859545257591110e-01 6.265000598700002504e-03
3.626262626262626299e+00 4.778206534642934766e-01 6.437083140726483112e-03
3.646464646464646631e+00 4.879778158091011009e-01 6.469101206939616155e-03
3.666666666666666963e+00 5.051770996795232893e-01 6.545853942373882836e-03
3.686868686868686851e+00 5.375749093591656314e-01 6.715490496229542007e-03
3.707070707070707183e+00 5.708980057388445273e-01 6.882786636474013363e-03
3.727272727272727515e+00 5.957532877571726226e-01 6.992910434518850339e-03
3.747474747474747403e+00 6.364432079601611836e-01 7.188810350361191787e-03
3.767676767676767735e+00 6.759071806065493071e-01 7.368613992122472270e-03
3.787878787878788067e+00 7.348413220696571324e-01 7.642168785110196004e-03
3.808080808080808399e+00 8.080600041223207075e-01 7.971344224949989191e-03
3.828282828282828287e+00 8.509073946433419744e-01 8.136788866142913301e-03
3.848484848484848619e+00 9.140630486672097765e-01 8.389077544446189513e-03
3.868686868686868952e+00 9.929233858889293662e-01 8.697815757104284881e-03
3.888888888888889284e+00 1.080957824480907270e+00 9.028066582053741532e-03
3.909090909090909172e+00 1.135184892972891380e+00 9.203932914580598493e-03
3.929292929292929504e+00 1.210843303566630391e+00 9.456827754549677195e-03
3.949494949494949836e+00 1.312532065866264031e+00 9.795560963456432721e-03
3.969696969696969724e+00 1.393857877820496416e+00 1.004310040909350658e-02
3.989898989898990056e+00 1.468172676487336847e+00 1.025516331934693375e-02
