# mu	p(mu)	err
-5.372912149777675950e+02 1.448060435642965029e-06 8.360380823213126226e-07
-4.146742206787832856e+02 1.930747247523950408e-06 9.653736237619752038e-07
-3.738018892457884590e+02 4.344181306928895723e-06 1.448060435642965241e-06
-3.329295578127936892e+02 7.722988990095813489e-06 1.930747247523953372e-06
-2.920572263797989194e+02 1.641135160395357952e-05 2.814523580354282008e-06
-2.511848949468040928e+02 2.075553291088249981e-05 3.165189095400905917e-06
-2.103125635138093230e+02 4.344181306928895215e-05 4.579169166207439521e-06
-1.694402320808145532e+02 8.977974700986383308e-05 6.582970443171750274e-06
-1.285679006478197834e+02 2.442395268117794117e-04 1.085777134278018517e-05
-8.769556921482489997e+01 7.056881189700049597e-04 1.845606535337159356e-05
-4.682323778183013019e+01 2.212636345662450515e-03 3.268042814192936542e-05
-5.950906348835360404e+00 6.022966038650972437e-03 5.391851514335222519e-05
3.492142508415940938e+01 8.247186867798567481e-03 6.309364735220532924e-05
7.579375651715417916e+01 4.713919404829719668e-03 4.770059463970210311e-05
1.166660879501490626e+02 1.516601962930065562e-03 2.705630733080851048e-05
1.575384193831438324e+02 4.291085757621986452e-04 1.439183971511103349e-05
1.984107508161386022e+02 1.192236425346041294e-04 7.586018713123944101e-06
2.392830822491333720e+02 4.006300538612203523e-05 4.397486139170664058e-06
2.801554136821281418e+02 1.544597798019162698e-05 2.730488942962898016e-06
3.210277451151229116e+02 6.757615366333818592e-06 1.806048675172859109e-06
3.619000765481177950e+02 2.413434059404948703e-06 1.079320523208546073e-06
4.436447394141074483e+02 1.448060435642965029e-06 8.360380823213126226e-07
5.662617337130917576e+02 9.653736237619741450e-07 6.826222357407227040e-07
