# s	p(s)	error
1.000000000000000000e+00 1.283456877076172065e+00 3.943967262162029891e-02
1.811609194200414219e+00 1.759448476913246517e-01 1.084922408417331001e-02
2.438354098268828540e+00 7.256737321997158707e-02 6.005718539725425978e-03
3.281927872511474220e+00 4.579077291551273549e-02 4.112132799765065051e-03
4.417344703140069662e+00 1.920534313511946742e-02 2.295477556717868614e-03
5.945570708544391181e+00 3.424530626726424859e-02 2.642082738758347489e-03
8.002502278161049531e+00 1.166138785134378415e-02 1.328938481858556305e-03
1.077105056036769071e+01 1.215209097730261638e-02 1.169335499493747875e-03
1.449740670372631612e+01 5.684652366009420796e-03 6.893653573521819683e-04
1.951293422635963282e+01 4.844593512977705789e-03 5.485421974510544833e-04
2.626363527653332852e+01 2.584154702931303407e-03 3.453221975996261265e-04
3.534981105030105653e+01 1.405665808678684516e-03 2.195281172995397674e-04
4.757944314009409226e+01 1.018886851378979566e-03 1.611001564177523256e-04
6.404004271197280218e+01 4.163479102625860812e-04 8.876567272114476218e-05
8.619535664753031767e+01 3.233920104945667870e-04 6.743189557901396920e-05
1.160155301739971492e+02 1.044646112004780409e-04 3.303461062774471407e-05
1.561523006000496423e+02 6.209075220164939383e-05 2.195239596537991943e-05
2.101748011332487067e+02 3.459839292102455025e-05 1.412473476280529386e-05
2.828869434625969461e+02 1.713690579635587628e-05 8.568452898177938141e-06
3.807546021222372019e+02 1.273210323425385420e-05 6.366051617126927101e-06
1.249609141291986816e+03 1.939729288521916480e-06 1.371595733580004123e-06
3.046989570903508138e+03 7.955076294698446061e-07 5.625088392837624923e-07
4.101127070551299767e+03 5.910334912502356384e-07 4.179237895714016032e-07
