# s	p(s)	error
1.000000000000000000e+00 1.188330892267810857e+00 3.615975752640674529e-02
1.811609194200414219e+00 1.852460494801163038e-01 1.060715793705390222e-02
2.438354098268828540e+00 7.806618578259062746e-02 5.935262197772890255e-03
3.281927872511474220e+00 3.956094042515303361e-02 3.641879761558359119e-03
4.417344703140069662e+00 2.540694885246893783e-02 2.515662798080615589e-03
5.945570708544391181e+00 3.793795739917472237e-02 2.649701880719925774e-03
8.002502278161049531e+00 1.429951029344278014e-02 1.402182346559339033e-03
1.077105056036769071e+01 1.113479088565493338e-02 1.066519539072119773e-03
1.449740670372631612e+01 7.513780500012955804e-03 7.551633538070291318e-04
1.951293422635963282e+01 3.665256797504068843e-03 4.546191540797093512e-04
2.626363527653332852e+01 2.387996295951357040e-03 3.162978362539045000e-04
3.534981105030105653e+01 1.649690238759125632e-03 2.266023815366009341e-04
4.757944314009409226e+01 9.019010323659666607e-04 1.444197472276643882e-04
6.404004271197280218e+01 5.669907304775034275e-04 9.870041731013264432e-05
8.619535664753031767e+01 3.191315705754381384e-04 6.382631411508762767e-05
1.160155301739971492e+02 1.612302116910309152e-04 3.910407016722446501e-05
1.561523006000496423e+02 1.197882350597580204e-04 2.905291446221758780e-05
2.101748011332487067e+02 5.235196492617912755e-05 1.655514491519747693e-05
2.828869434625969461e+02 1.944781134578833646e-05 8.697325636554877697e-06
3.807546021222372019e+02 8.669413650655340627e-06 5.005288304922077622e-06
5.124805876960931528e+02 4.294041211106109916e-06 3.036345659067625182e-06
6.897785379387657940e+02 4.785476734391235894e-06 2.762896280801471366e-06
9.284145445194744752e+02 2.370291133900639027e-06 1.676048934167492693e-06
