# r	c(r)	err
2.248564094533762159e+00 8.977698309486217831e-02 2.535915646704868867e-02
2.357199708964885954e+00 4.414645309602220624e-02 8.727385823385447328e-03
2.477134518567492893e+00 2.079311671291913036e-02 7.422696190252054890e-03
2.606173977985770662e+00 1.827573650111044209e-02 8.653226145523469984e-03
2.735436685370150833e+00 3.337331038030985630e-02 1.211965413909299114e-02
2.864568039718661918e+00 8.878236425552878813e-03 2.034050236372669448e-02
2.997977918367418670e+00 1.815737317741699872e-02 3.818017741606062609e-02
3.124944222222076018e+00 -4.192701351222490047e-02 8.084520834544432766e-02
3.269785057142975404e+00 1.960485484002414680e-01 1.690308509457033037e-01
3.441316625000035767e+00 -7.330050741707339057e-03 7.905694150420948529e-02
3.558152940894571792e+00 -7.228138047517255376e-04 2.826167094721107609e-02
3.688031350622396509e+00 -6.998315186778111818e-03 1.610391566002077057e-02
3.816656204081627202e+00 3.118300178692658131e-02 1.039132810647582818e-02
3.946672907572862599e+00 9.803731795566988580e-03 7.849719171507896220e-03
4.075487186573096388e+00 2.005402046449096878e-02 7.054509148986502429e-03
4.206705714293212495e+00 1.521567270242320767e-02 7.243714729703158196e-03
4.337838778713495103e+00 4.723072010969289747e-03 8.048566708072012535e-03
4.472075780866159533e+00 1.488862165829482956e-02 8.873565094161137146e-03
4.608308080672962603e+00 2.983217838502479503e-03 8.845748207237920033e-03
4.743201276154369594e+00 1.207111590862146137e-02 7.754035086653923020e-03
4.874130788364792188e+00 6.682509078649720956e-03 7.057495184738841847e-03
5.005029324884255004e+00 7.427444213581835437e-03 7.015514426018900317e-03
5.136874033117782012e+00 4.371202894867824186e-03 7.466846138618736355e-03
5.269769683139305272e+00 1.200554789276025471e-02 8.450637170373791890e-03
5.403674760637850127e+00 9.168009384091915792e-03 9.628301042165290924e-03
5.538961945372629536e+00 3.025535769991100597e-03 1.000250093789079552e-02
5.675390351527818567e+00 1.458979657977842875e-02 8.979178976022671524e-03
5.809264048834829275e+00 7.046658319131487644e-03 7.557562214769517582e-03
5.940441131002363484e+00 1.013369050735435893e-02 6.510135218540298932e-03
6.072581505841652572e+00 -3.651541621398675472e-03 5.853360478940835936e-03
6.204789345085682584e+00 3.683904649729923073e-03 5.482436365901724104e-03
6.336943064543820725e+00 1.785710023003229561e-03 5.353567608317477168e-03
6.469426855611077443e+00 8.595226010084744753e-03 5.390541859166073785e-03
6.602169648657671530e+00 -2.772501683315990294e-04 5.529505365291335905e-03
6.735288964406174195e+00 4.332502972801930384e-03 5.722325975644124846e-03
6.868751204063251237e+00 4.683669888590462176e-03 5.873113611081340162e-03
7.002395748142691723e+00 8.517970717210287396e-03 5.824496106415206695e-03
7.135552818216522653e+00 1.075901061184035556e-02 5.633467567945936449e-03
7.268583199817018503e+00 3.774071057060655616e-03 5.521997203716544345e-03
7.401097125052682024e+00 4.068121138597140772e-03 5.491356543054763673e-03
7.534317232934467867e+00 -4.275516587614241158e-03 5.525283530292440792e-03
7.667175682273604131e+00 -3.946470710477379719e-03 5.526464669232259916e-03
7.800951391082094233e+00 1.197185889763655899e-02 5.358330501419200989e-03
7.934777706627250460e+00 3.628815220350930289e-03 5.151697048896757523e-03
