# mu	p(mu)	err
-1.018845295643533746e+03 1.605068127932188128e-06 1.134954557527247247e-06
-7.238516812012369428e+02 3.210136255864391079e-06 1.605068127932195540e-06
-6.255204763871379328e+02 1.605068127932195540e-06 1.134954557527252329e-06
-5.763548739800885414e+02 1.605068127932195540e-06 1.134954557527252329e-06
-5.517720727765638458e+02 3.210136255864361433e-06 1.605068127932180717e-06
-5.026064703695142271e+02 4.012670319830488849e-06 1.794520721287358918e-06
-4.780236691659895314e+02 4.815204383796586619e-06 1.965798957919055539e-06
-4.534408679624648357e+02 4.815204383796586619e-06 1.965798957919055539e-06
-4.288580667589401401e+02 1.605068127932195540e-06 1.134954557527252329e-06
-4.042752655554154444e+02 5.617738447762632720e-06 2.123305551912277758e-06
-3.796924643518905214e+02 3.210136255864391079e-06 1.605068127932195540e-06
-3.551096631483658257e+02 8.025340639660977698e-06 2.537835542004131874e-06
-3.305268619448411300e+02 3.210136255864391079e-06 1.605068127932195540e-06
-3.059440607413164344e+02 1.284054502345756432e-05 3.210136255864391079e-06
-2.813612595377917387e+02 1.364307908742366209e-05 3.308932713888421272e-06
-2.567784583342670430e+02 1.845828347122007760e-05 3.848818162500842879e-06
-2.321956571307421200e+02 2.487855598294903256e-05 4.468320561307589429e-06
-2.076128559272174243e+02 3.771910100640659687e-05 5.501896347607724312e-06
-1.830300547236927287e+02 3.932416913433878903e-05 5.617738447762684389e-06
-1.584472535201680330e+02 5.858498666952513550e-05 6.856854048271239127e-06
-1.338644523166433373e+02 1.027243601876595659e-04 9.079636460217935625e-06
-1.092816511131184143e+02 1.613093468571856568e-04 1.137788406027298531e-05
-8.469884990959371862e+01 2.889122630277952378e-04 1.522701325202479463e-05
-6.011604870606902296e+01 5.930726732709463078e-04 2.181653095034520582e-05
-3.553324750254432729e+01 1.514381778704026365e-03 3.486176936501573728e-05
-1.095044629901963162e+01 4.378625852999029622e-03 5.927897097955001592e-05
1.363235490450506404e+01 1.100595215323096378e-02 9.398218719176941861e-05
3.821515610802998708e+01 1.348417734275837547e-02 1.040264949045360230e-04
6.279795731155468275e+01 6.289459459302308708e-03 7.104579832772588816e-05
8.738075851507937841e+01 1.690939272776568070e-03 3.683797451681155308e-05
1.119635597186040741e+02 4.959660515310484455e-04 1.995068046269177849e-05
1.365463609221287697e+02 1.781625622004736947e-04 1.195748824332931719e-05
1.611291621256534654e+02 8.587114484437166346e-05 8.301476907717949608e-06
1.857119633291783884e+02 4.413937351813537226e-05 5.951751911028107165e-06
2.102947645327030841e+02 2.969376036674561918e-05 4.881624133580934335e-06
2.348775657362277798e+02 1.444561315138975986e-05 3.404863672581757623e-06
2.594603669397524754e+02 1.203801095949146655e-05 3.108201064504854289e-06
2.840431681432771711e+02 9.630408767593173238e-06 2.780059547188025404e-06
3.086259693468018668e+02 3.210136255864361433e-06 1.605068127932180717e-06
3.332087705503267898e+02 5.617738447762736905e-06 2.123305551912316722e-06
3.577915717538512581e+02 1.123547689552526544e-05 3.002807508576433019e-06
3.823743729573761811e+02 2.407602191898271287e-06 1.390029773593999997e-06
4.069571741609011042e+02 3.210136255864420725e-06 1.605068127932210363e-06
4.315399753644255725e+02 1.605068127932180717e-06 1.134954557527241953e-06
