# mu	p(mu)	err
-1.037632814588020210e+03 6.547706806275508398e-07 3.780320287177909683e-07
-9.472414641324975264e+02 6.547706806275499927e-07 3.780320287177904918e-07
-7.664587632214519317e+02 6.547706806275508398e-07 3.780320287177909683e-07
-6.760674127659292481e+02 2.837339616052716847e-06 7.869364208910292295e-07
-5.856760623104064507e+02 3.928624083765299533e-06 9.259855767877435937e-07
-4.952847118548836534e+02 5.019908551477883489e-06 1.046723290231509843e-06
-4.048933613993608560e+02 9.603303315870732380e-06 1.447752447578140127e-06
-3.145020109438380587e+02 1.986137731236901327e-05 2.082038067296916233e-06
-2.241106604883152613e+02 6.635009563692506932e-05 3.805438970731780281e-06
-1.337193100327924640e+02 3.900250687604772453e-04 9.226356805986218450e-06
-4.332795957726966662e+01 6.392089641179684971e-03 3.735127344989964797e-05
4.706339087825313072e+01 4.030768309943197521e-03 2.966046139084525582e-05
1.374547413337759281e+02 1.095649605583433659e-04 4.890123508928213568e-06
2.278460917892987254e+02 1.593275322860371543e-05 1.864787715868632215e-06
3.182374422448215228e+02 7.638991273988102095e-06 1.291225195409011077e-06
4.086287927003440927e+02 3.273853403137741282e-06 8.453053138851299300e-07
4.990201431558671175e+02 1.309541361255103374e-06 5.346180220241160639e-07
5.894114936113896874e+02 1.309541361255096809e-06 5.346180220241134170e-07
