# mu	p(mu)	err
-2.680821851249186238e+03 1.890461357909637312e-07 1.091458373881714640e-07
-2.054671987746553441e+03 1.260307571939756444e-07 8.911720304993543614e-08
-1.741597055995236587e+03 3.150768929849395873e-07 1.409066701707503011e-07
-1.428522124243920189e+03 6.931691645668669969e-07 2.089983668284011678e-07
-1.115447192492603790e+03 8.822153003578307810e-07 2.357819568077763442e-07
-8.023722607412873913e+02 2.898707415461443844e-06 4.273910916563413773e-07
-4.892973289899709926e+02 2.186633637315480447e-05 1.173846440163038380e-06
-1.762223972386545938e+02 3.109808933761353325e-03 1.399877806543367332e-05
1.368525345126618049e+02 5.223974885690282443e-05 1.814361472262153251e-06
4.499274662639791131e+02 3.150768929849395556e-06 4.455860152496777895e-07
7.630023980152955119e+02 8.822153003578307810e-07 2.357819568077763442e-07
1.076077329766611911e+03 1.890461357909637312e-07 1.091458373881714640e-07
1.389152261517928309e+03 2.520615143879516063e-07 1.260307571939758032e-07
3.267601852025827611e+03 1.890461357909637312e-07 1.091458373881714640e-07
