# s	p(s)	error
1.000000000000000000e+00 1.256793435817703974e+00 3.884101432513838853e-02
1.811609194200414219e+00 1.762521171883538740e-01 1.080671067156940834e-02
2.438354098268828540e+00 7.679713989960015863e-02 6.148692114816983918e-03
3.281927872511474220e+00 4.059861037063372535e-02 3.853449564972732770e-03
4.417344703140069662e+00 2.391324998338202612e-02 2.549161013423918536e-03
5.945570708544391181e+00 3.714851833750159454e-02 2.738625105968651129e-03
8.002502278161049531e+00 1.275000459595541230e-02 1.382932167095288906e-03
1.077105056036769071e+01 1.203602034089150397e-02 1.158166597297586795e-03
1.449740670372631612e+01 5.547556092598661739e-03 6.777418453682141665e-04
1.951293422635963282e+01 4.429218832782453631e-03 5.219884453366063813e-04
2.626363527653332852e+01 2.330947861970879102e-03 3.263979868025492057e-04
3.534981105030105653e+01 1.426196662095290503e-03 2.200669226660569369e-04
4.757944314009409226e+01 7.820950929890454041e-04 1.404684253899561000e-04
6.404004271197280218e+01 3.748828775204876909e-04 8.382635977365382788e-05
8.619535664753031767e+01 3.760080260688579510e-04 7.236277835610498816e-05
1.160155301739971492e+02 1.241601815846213395e-04 3.584195713025697304e-05
1.561523006000496423e+02 1.076209622099809528e-04 2.876291201604960215e-05
2.101748011332487067e+02 1.713396327172830947e-05 9.892298307217501152e-06
2.828869434625969461e+02 3.394644545208369709e-05 1.200188088817380814e-05
3.807546021222372019e+02 6.305246306830448304e-06 4.458482420611244314e-06
5.124805876960931528e+02 9.369141413268894833e-06 4.684570706634447417e-06
6.897785379387657940e+02 5.220700739720006887e-06 3.014172977435824706e-06
9.284145445194744752e+02 2.585861631543596029e-06 1.828480294874586115e-06
1.249609141291986816e+03 2.881802960833536563e-06 1.663809715188702893e-06
