# mu	p(mu)	err
-2.704255860752205081e+03 7.073791446125650594e-07 5.001925900254841569e-07
-1.644450310724361771e+03 7.073791446125620948e-07 5.001925900254820393e-07
-1.198216394923164671e+03 7.073791446125620948e-07 5.001925900254820393e-07
-1.086657915972865339e+03 7.073791446125620948e-07 5.001925900254820393e-07
-1.030878676497715560e+03 7.073791446125620948e-07 5.001925900254820393e-07
-8.077617185971171239e+02 7.073791446125650594e-07 5.001925900254841569e-07
-7.519824791219675717e+02 1.061068716918838801e-06 6.126083093417823848e-07
-6.962032396468175648e+02 1.414758289225130119e-06 7.073791446125650594e-07
-6.404240001716680126e+02 1.414758289225130119e-06 7.073791446125650594e-07
-5.846447606965184605e+02 3.183206150756542238e-06 1.061068716918847483e-06
-5.288655212213689083e+02 2.829516578450260238e-06 1.000385180050968314e-06
-4.730862817462193561e+02 5.659033156900473041e-06 1.414758289225118260e-06
-4.173070422710693492e+02 5.659033156900520475e-06 1.414758289225130119e-06
-3.615278027959197971e+02 1.344020374763873380e-05 2.180288952228956242e-06
-3.057485633207702449e+02 2.228244305529579778e-05 2.807323948917663473e-06
-2.499693238456206927e+02 3.324681979679055123e-05 3.429147630894723129e-06
-1.941900843704711406e+02 6.543257087666171817e-05 4.810698286971113408e-06
-1.384108448953211337e+02 1.782595444423663823e-04 7.940311205068307184e-06
-8.263160542017158150e+01 7.533587890123816678e-04 1.632345392001852567e-05
-2.685236594502202934e+01 5.795557331810745338e-03 4.527502837066678729e-05
2.892687353012752283e+01 9.616465781435514643e-03 5.832018234997150493e-05
8.470611300527707499e+01 1.187689583804486760e-03 2.049569274087685152e-05
1.404853524804270819e+02 1.425368976394318524e-04 7.100268612098771326e-06
1.962645919555766341e+02 4.208905910444761013e-05 3.858297722237867995e-06
2.520438314307261862e+02 1.945292647684553500e-05 2.623032071039363843e-06
3.078230709058757384e+02 6.720101873819366900e-06 1.541697103067207162e-06
3.636023103810252906e+02 4.244274867675355205e-06 1.225216618683564770e-06
4.193815498561752975e+02 6.012722729206802052e-06 1.458299465298337650e-06
4.751607893313248496e+02 2.122137433837694966e-06 8.663589794936082769e-07
5.309400288064744018e+02 1.414758289225130119e-06 7.073791446125650594e-07
5.867192682816239540e+02 1.768447861531412331e-06 7.908739266096746100e-07
6.982777472319235130e+02 1.061068716918847483e-06 6.126083093417874670e-07
7.540569867070730652e+02 1.061068716918847483e-06 6.126083093417874670e-07
1.144511663033120840e+03 7.073791446125650594e-07 5.001925900254841569e-07
