# r	g(r)	err
2.040404040404040664e+00 1.118275697068760958e-03 2.500540476231711824e-04
2.121212121212121104e+00 2.814374843480429642e-02 1.206653259293908632e-03
2.202020202020201989e+00 2.767149446332048957e-01 3.644774204905743779e-03
2.282828282828282873e+00 1.251085092980822600e+00 7.475595613252523225e-03
2.363636363636363313e+00 2.899341056196209632e+00 1.099118733933322767e-02
2.444444444444444642e+00 3.923408186441363465e+00 1.236309470113239849e-02
2.525252525252525082e+00 3.862133487415916999e+00 1.187365555999758508e-02
2.606060606060606410e+00 3.205638744252700345e+00 1.048210240495394199e-02
2.686868686868686851e+00 2.407131432982714259e+00 8.810064345589133095e-03
2.767676767676767735e+00 1.647099331105213338e+00 7.074897423437538635e-03
2.848484848484848619e+00 1.088939749819841207e+00 5.589379944277794200e-03
2.929292929292929060e+00 7.266094978673608429e-01 4.439799442056776083e-03
3.010101010101010388e+00 4.877784151722197592e-01 3.540021013845011041e-03
3.090909090909090828e+00 3.426303820861582028e-01 2.889364441511596982e-03
3.171717171717171713e+00 2.703671244830802012e-01 2.501255795537817017e-03
3.252525252525252597e+00 2.390119884467084010e-01 2.293320671792042301e-03
3.333333333333333481e+00 2.449947848145580254e-01 2.265558573796430056e-03
3.414141414141414366e+00 2.544636955566044745e-01 2.254275700865886623e-03
3.494949494949494806e+00 2.923062933231587723e-01 2.360227135068213022e-03
3.575757575757576134e+00 3.350272497677274641e-01 2.469719433312396809e-03
3.656565656565656575e+00 4.022459357673559555e-01 2.646354840574710165e-03
3.737373737373737459e+00 4.950984845891889807e-01 2.872465950763640388e-03
3.818181818181818343e+00 6.541901401222833812e-01 3.231997470653449715e-03
3.898989898989899228e+00 8.731512223938872053e-01 3.656522443686781049e-03
3.979797979797980112e+00 1.125703293527074766e+00 4.067490633229544315e-03
4.060606060606060552e+00 1.361161400233125374e+00 4.383687371814593697e-03
4.141414141414141881e+00 1.498844985871818913e+00 4.510298839497857773e-03
4.222222222222222321e+00 1.557217604552067813e+00 4.509300582298926031e-03
4.303030303030302761e+00 1.512253978539225052e+00 4.360272017177126147e-03
4.383838383838384090e+00 1.427194966167348866e+00 4.157791796919263309e-03
4.464646464646464530e+00 1.304995690599528801e+00 3.903849660448361399e-03
4.545454545454545858e+00 1.203463472285871472e+00 3.682262606671799551e-03
4.626262626262626299e+00 1.152651970943893822e+00 3.540743247349068153e-03
4.707070707070707627e+00 1.165211704919376201e+00 3.498866059901370971e-03
4.787878787878788067e+00 1.213561876965941089e+00 3.510455206400256694e-03
4.868686868686868507e+00 1.245654159067695499e+00 3.497538613829566292e-03
4.949494949494949836e+00 1.244537334184749655e+00 3.438893288841519003e-03
5.030303030303030276e+00 1.200843995564436328e+00 3.323722580880123390e-03
5.111111111111111605e+00 1.098943189519424823e+00 3.129305180410573393e-03
5.191919191919192045e+00 9.708551197542754085e-01 2.895508929239664579e-03
5.272727272727273373e+00 8.417870222593847318e-01 2.654858782236790924e-03
5.353535353535353813e+00 7.234380430495309655e-01 2.424016752190907408e-03
5.434343434343434254e+00 6.388507087437924614e-01 2.244027784067597741e-03
5.515151515151515582e+00 5.800117490365437334e-01 2.106864316933128138e-03
5.595959595959596022e+00 5.676781043946116379e-01 2.054244448746540136e-03
5.676767676767677351e+00 5.923865907717466017e-01 2.068602804020398117e-03
5.757575757575757791e+00 6.581748279471316687e-01 2.149842249643696239e-03
5.838383838383839120e+00 7.471078077407766749e-01 2.258783538729987155e-03
5.919191919191919560e+00 8.601657147595076491e-01 2.390585400914104625e-03
6.000000000000000000e+00 9.855514467241742738e-01 2.524433994757220145e-03
6.080808080808081328e+00 1.096130697008260269e+00 2.626911815062306279e-03
6.161616161616162657e+00 1.207696019903222506e+00 2.721195834384125632e-03
6.242424242424242209e+00 1.284038626201339461e+00 2.769563863528242895e-03
6.323232323232323537e+00 1.333368424714107769e+00 2.786195362200395535e-03
6.404040404040404866e+00 1.329094386021634433e+00 2.746625633387039366e-03
6.484848484848485306e+00 1.309439814221005971e+00 2.692269664542106412e-03
6.565656565656565746e+00 1.258181751370173185e+00 2.606568540216442405e-03
6.646464646464647075e+00 1.192141253915208532e+00 2.506390754260027966e-03
6.727272727272727515e+00 1.127451505705673984e+00 2.408161013954848804e-03
6.808080808080807955e+00 1.066985634487790158e+00 2.314889177678791914e-03
6.888888888888889284e+00 1.014484496345418263e+00 2.230740989833451034e-03
6.969696969696970612e+00 9.734617612144896848e-01 2.159837973462316787e-03
7.050505050505051052e+00 9.512378643557961588e-01 2.110570953612373509e-03
7.131313131313131493e+00 9.423440905492759256e-01 2.076877443718173292e-03
7.212121212121212821e+00 9.424958548864164065e-01 2.053772468074538046e-03
7.292929292929293261e+00 9.420418966395494031e-01 2.030526802582416704e-03
7.373737373737373701e+00 9.316542267793570531e-01 1.997171381324430207e-03
7.454545454545455030e+00 9.208061409965657695e-01 1.963986764206029217e-03
7.535353535353536358e+00 9.026961006148811473e-01 1.923724033288775736e-03
7.616161616161616799e+00 8.816197680749578991e-01 1.880962463588573908e-03
7.696969696969697239e+00 8.614842216661273699e-01 1.839837673402163008e-03
7.777777777777778567e+00 8.569443031862935545e-01 1.815918645037642356e-03
7.858585858585859008e+00 8.680958667441046606e-01 1.808902096827569436e-03
7.939393939393939448e+00 8.951110172194691739e-01 1.818137482205198132e-03
8.020202020202020776e+00 9.344376291506960586e-01 1.838931160603959414e-03
8.101010101010102105e+00 9.832619940187238283e-01 1.867544990323976532e-03
8.181818181818181657e+00 1.038879845413450909e+00 1.900677600296140843e-03
8.262626262626262985e+00 1.088727973382207725e+00 1.926713773904977899e-03
8.343434343434344314e+00 1.132172428102570239e+00 1.945750070129188044e-03
8.424242424242425642e+00 1.161535869156940626e+00 1.951915789433274423e-03
8.505050505050505194e+00 1.174523617584861457e+00 1.944149242717679990e-03
8.585858585858586522e+00 1.167569024195400207e+00 1.920141223253915997e-03
8.666666666666667851e+00 1.161740697789645616e+00 1.897484028190178119e-03
8.747474747474747403e+00 1.130087132437987085e+00 1.854167173174018626e-03
8.828282828282828731e+00 1.100330374105138675e+00 1.812846085521326901e-03
8.909090909090910060e+00 1.060370483776555295e+00 1.763482056186326018e-03
8.989898989898989612e+00 1.026035422065368019e+00 1.719103345384200444e-03
9.070707070707070940e+00 9.896549369375023941e-01 1.673309882718633859e-03
9.151515151515152269e+00 9.617371567160519774e-01 1.634973865317448189e-03
9.232323232323233597e+00 9.394857690904506731e-01 1.601805284927935395e-03
9.313131313131313149e+00 9.232369560168448563e-01 1.574115096842159571e-03
9.393939393939394478e+00 9.142484706281798212e-01 1.552958991726059680e-03
9.474747474747475806e+00 9.198329757622337732e-01 1.544409498614910271e-03
9.555555555555557135e+00 9.273624838569191065e-01 1.537603786780333175e-03
9.636363636363636687e+00 9.389532249172389822e-01 1.534208622456502153e-03
9.717171717171718015e+00 9.459491960945017874e-01 1.527107637381972709e-03
9.797979797979799343e+00 9.557834917864587165e-01 1.522365184186250369e-03
9.878787878787878896e+00 9.673127406946353535e-01 1.518991746715664913e-03
9.959595959595960224e+00 9.738283369061387917e-01 1.511733036081749915e-03
