# s	p(s)	error
1.000000000000000000e+00 1.223401208472832735e+00 3.784519609990134176e-02
1.811609194200414219e+00 2.009779849638554938e-01 1.139641598201602407e-02
2.438354098268828540e+00 8.258178909518230915e-02 6.296802386261992658e-03
3.281927872511474220e+00 4.387616832147741425e-02 3.956180866103330661e-03
4.417344703140069662e+00 2.226232970948234871e-02 2.429019310470645863e-03
5.945570708544391181e+00 3.760905608222487456e-02 2.721295791011641048e-03
8.002502278161049531e+00 1.082576331909792904e-02 1.258469423444585943e-03
1.077105056036769071e+01 9.999594236082008647e-03 1.042529766472571114e-03
1.449740670372631612e+01 7.429338039631353495e-03 7.745620340828341180e-04
1.951293422635963282e+01 3.839812411445083038e-03 4.799765514306353798e-04
2.626363527653332852e+01 2.005904671440882255e-03 2.990226134484129145e-04
3.534981105030105653e+01 1.192251887632515090e-03 1.987086479387525060e-04
4.757944314009409226e+01 7.873779313208153011e-04 1.391900686483960503e-04
6.404004271197280218e+01 3.656208866218446131e-04 8.175531564801879624e-05
8.619535664753031767e+01 2.852252953249930379e-04 6.224126218775784887e-05
1.160155301739971492e+02 1.110015826182479475e-04 3.346823642548765244e-05
1.561523006000496423e+02 9.746475151944812684e-05 2.703185839644053990e-05
2.101748011332487067e+02 1.002638725597127011e-04 2.363242139833222072e-05
2.828869434625969461e+02 3.724622143770544105e-05 1.241540714590181368e-05
3.807546021222372019e+02 1.844839988681375308e-05 7.531527715585439176e-06
5.124805876960931528e+02 1.370649606509811817e-05 5.595653586825972784e-06
9.284145445194744752e+02 2.521974406138914110e-06 1.783305204559742207e-06
