# s	p(s)	error
1.000000000000000000e+00 1.265967953445485739e+00 3.929380045860524084e-02
1.811609194200414219e+00 1.723458410845569166e-01 1.077161506778480729e-02
2.438354098268828540e+00 8.002921686821905245e-02 6.326865116578488275e-03
3.281927872511474220e+00 4.496573500007908925e-02 4.087794090916281077e-03
4.417344703140069662e+00 2.374447215457718002e-02 2.560432280679879585e-03
5.945570708544391181e+00 3.651336113532673705e-02 2.736792124267729397e-03
8.002502278161049531e+00 1.204000434002377648e-02 1.354606321005756868e-03
1.077105056036769071e+01 1.109668785796585726e-02 1.120934747582583157e-03
1.449740670372631612e+01 7.066662043970757187e-03 7.710360411230321800e-04
1.951293422635963282e+01 3.562686709519388359e-03 4.718893824844020281e-04
2.626363527653332852e+01 2.275446348388086154e-03 3.250637640554408792e-04
3.534981105030105653e+01 1.414562427720954642e-03 2.209175357634609118e-04
4.757944314009409226e+01 8.459017894280863002e-04 1.472526006723715757e-04
6.404004271197280218e+01 3.999383407269202213e-04 8.727370093791200420e-05
8.619535664753031767e+01 2.405417183177804331e-04 5.833993599951642421e-05
1.160155301739971492e+02 7.358804573805826624e-05 2.781366692716410181e-05
1.561523006000496423e+02 1.015360639246908970e-04 2.816103729148172467e-05
2.101748011332487067e+02 4.062026510664590577e-05 1.535301709452852121e-05
2.828869434625969461e+02 3.017939264453179380e-05 1.140673823662900729e-05
3.807546021222372019e+02 1.921902924917432768e-05 7.846135835350401237e-06
6.897785379387657940e+02 8.840680296234723422e-06 3.953672421944763350e-06
9.284145445194744752e+02 3.940984056175303439e-06 2.275328205704834942e-06
7.429639507594950373e+03 3.283126468188422311e-07 2.321520989149073232e-07
