# gamma	percentage
0.000000000000000000e+00 1.130247790404040487e+01
7.999999972558071229e-03 1.134390782828282873e+01
1.599999994511614593e-02 1.125512941919191867e+01
2.399999877426056347e-02 1.136363636363636331e+01
3.199999989023228492e-02 1.133009785353535293e+01
3.999999986279036135e-02 1.119594381313131315e+01
4.799999754852112693e-02 1.115451388888888928e+01
5.599999866449285185e-02 1.103811553030303116e+01
6.399999863705091441e-02 1.098682133838383912e+01
7.199999975302265320e-02 1.089607007575757613e+01
7.999999972558072270e-02 1.064354482323232354e+01
8.800000084155244762e-02 1.056463068181818166e+01
9.599999509704225387e-02 1.043639520202020243e+01
1.039999962130139788e-01 1.018386994949494984e+01
1.119999961855720622e-01 1.004577020202020243e+01
1.199999973015437593e-01 9.899779040404039776e+00
1.279999972741018288e-01 9.682765151515152269e+00
1.359999983900735676e-01 9.501262626262626299e+00
1.439999983626316371e-01 9.432212752525252597e+00
1.519999994786033759e-01 9.305950126262626299e+00
1.599999994511614454e-01 9.467724116161615910e+00
1.680000005671331564e-01 9.292140151515152269e+00
1.760000005396912259e-01 9.248737373737373701e+00
1.839999902215264382e-01 9.154040404040404866e+00
1.919999913374981215e-01 9.209280303030302761e+00
1.999999913100562188e-01 9.140230429292929060e+00
