# s	p(s)	error
1.000000000000000000e+00 1.245600680346434785e+00 3.886812716767295423e-02
1.804721766827170226e+00 1.827961484383179291e-01 1.108364452893043431e-02
2.424462017082328114e+00 7.904057582641196844e-02 6.288130584414615941e-03
3.257020655659783159e+00 4.356861376656832180e-02 4.027919767596111270e-03
4.375479375074184496e+00 2.328423845201499018e-02 2.540518695375240318e-03
5.878016072274911963e+00 2.558581816600848102e-02 2.297674299654048520e-03
7.896522868499724623e+00 2.165666648455706611e-02 1.823820328386663000e-03
1.060818355139448244e+01 1.166185237017215715e-02 1.154695447088266869e-03
1.425102670302997687e+01 7.063831510288486396e-03 7.753562384186724402e-04
1.914481976169957633e+01 4.054497949408207222e-03 5.068122436760259027e-04
2.571913809059344302e+01 2.782300248638482770e-03 3.622246393919195846e-04
3.455107294592217926e+01 1.298818837389294819e-03 2.135245015599216171e-04
4.641588833612777165e+01 9.406850181496040223e-04 1.567808363582673370e-04
6.235507341273912374e+01 4.473675038064531544e-04 9.328257292437874815e-05
8.376776400682915380e+01 4.198841374482411366e-04 7.797052689863087345e-05
1.125335582600764610e+02 1.616655934941623081e-04 4.174187675050858466e-05
1.511775070615661605e+02 9.627254655927743997e-05 2.779149033578480482e-05
2.030917620904734804e+02 2.388779573904543327e-05 1.194389786952271664e-05
2.728333376486766610e+02 1.333620344266854012e-05 7.699660647592296495e-06
3.665241237079625876e+02 1.985441427437472305e-05 8.105530685674801474e-06
2.154434690031882383e+03 1.125913575274878179e-06 7.961411241068566821e-07
9.426684551178845140e+03 2.573234790429765968e-07 1.819551769898031764e-07
