# mu	p(mu)	err
1.000000000000000000e+00 1.265222916140269716e+00 3.755511694021709812e-02
1.811609194200414219e+00 1.889056933853053288e-01 1.078141738782514326e-02
2.438354098268828540e+00 8.320430583286156367e-02 6.167513484186991184e-03
3.281927872511474220e+00 3.770206470207713295e-02 3.578521616835457150e-03
4.417344703140069662e+00 2.245949071993903409e-02 2.380701254915789256e-03
5.945570708544391181e+00 3.206075533375047498e-02 2.451747237778964267e-03
8.002502278161049531e+00 1.086525651972835953e-02 1.230248042737825840e-03
1.077105056036769071e+01 1.304018246985905530e-02 1.161711787219718833e-03
1.449740670372631612e+01 6.612707554230803399e-03 7.130665939560341428e-04
1.951293422635963282e+01 3.827572361517064554e-03 4.676123886400907663e-04
2.626363527653332852e+01 2.334420232748978755e-03 3.147731599701542190e-04
3.534981105030105653e+01 1.261374602804422049e-03 1.994408363776093156e-04
4.757944314009409226e+01 9.137269618300788120e-04 1.463134114797818273e-04
6.404004271197280218e+01 4.873911132653559663e-04 9.210826263736042040e-05
8.619535664753031767e+01 3.103834517800265424e-04 6.335675678873434874e-05
1.160155301739971492e+02 1.056933696430598465e-04 3.186774999403355746e-05
1.561523006000496423e+02 8.566512379537243190e-05 2.472939114171044452e-05
2.101748011332487067e+02 5.303841568109238745e-05 1.677221970390427132e-05
2.828869434625969461e+02 2.364337851386932342e-05 9.652368859077181554e-06
3.807546021222372019e+02 1.171078527331100679e-05 5.855392636655503396e-06
5.124805876960931528e+02 8.700691293155226461e-06 4.350345646577613230e-06
1.681924324880868880e+03 1.988318672242126968e-06 1.147956320653751261e-06
