# r	g(r)	err
2.010101010101010388e+00 5.804187986829552467e-04 4.104180684768672020e-04
2.030303030303030276e+00 1.706776924826889242e-03 6.967887617637468596e-04
2.050505050505050164e+00 1.673311522723948353e-03 6.831265685655354102e-04
2.070707070707070940e+00 6.016342969972179010e-03 1.282688631039109349e-03
2.090909090909090828e+00 1.019202623366311303e-02 1.653364979826843625e-03
2.111111111111111160e+00 2.578404975814523742e-02 2.604582347205122543e-03
2.131313131313131493e+00 4.646492298461252918e-02 3.463290878762867540e-03
2.151515151515151381e+00 8.258021710866289555e-02 4.573695213620804223e-03
2.171717171717171713e+00 1.576267659575134594e-01 6.260158601792557669e-03
2.191919191919192045e+00 2.308815853482230895e-01 7.506607832789370660e-03
2.212121212121211933e+00 3.623107237977243322e-01 9.317626401529846558e-03
2.232323232323232265e+00 5.680287866730610036e-01 1.156116801350464546e-02
2.252525252525252597e+00 8.361351164829070592e-01 1.390087641565238182e-02
2.272727272727272485e+00 1.218156983378668956e+00 1.662945150934684244e-02
2.292929292929293261e+00 1.596458401795839865e+00 1.886955940757212638e-02
2.313131313131313149e+00 2.138929548475836384e+00 2.165068150345010947e-02
2.333333333333333037e+00 2.646948857454427539e+00 2.387644193708952575e-02
2.353535353535353813e+00 3.147869745893200566e+00 2.581435447408867573e-02
2.373737373737373701e+00 3.666388721305287923e+00 2.762232338557964878e-02
2.393939393939394034e+00 4.057770204549112414e+00 2.881404247259786514e-02
2.414141414141414366e+00 4.447261810631927936e+00 2.991281335845539374e-02
2.434343434343434254e+00 4.710927882344429385e+00 3.053127907093668506e-02
2.454545454545454586e+00 4.885160101362912677e+00 3.083485714216967558e-02
2.474747474747474918e+00 4.869293730777534357e+00 3.053343857493097738e-02
2.494949494949494806e+00 4.882308368399022491e+00 3.032665169577071149e-02
2.515151515151515138e+00 4.882785861440047448e+00 3.008453516793221233e-02
2.535353535353535470e+00 4.688169525553114170e+00 2.924399802089491102e-02
2.555555555555555358e+00 4.531749915865639800e+00 2.852471146257759549e-02
2.575757575757575690e+00 4.369390583150527085e+00 2.778939342678676816e-02
2.595959595959596022e+00 4.028119776225242532e+00 2.647444583260013043e-02
2.616161616161615910e+00 3.871921449696248185e+00 2.575563836595707798e-02
2.636363636363636687e+00 3.623855645879442200e+00 2.472599351334895529e-02
2.656565656565656575e+00 3.442341549630358877e+00 2.391553190896315850e-02
2.676767676767676907e+00 3.195175211576161800e+00 2.286705723369159005e-02
2.696969696969697239e+00 2.940813990464690164e+00 2.177365463853035352e-02
2.717171717171717127e+00 2.684106672850560926e+00 2.064697440654277710e-02
2.737373737373737459e+00 2.487521822975235608e+00 1.972981315579762362e-02
2.757575757575757791e+00 2.306257466532513511e+00 1.885819235658802231e-02
2.777777777777777679e+00 2.150043717357457140e+00 1.807589313243521817e-02
2.797979797979798011e+00 1.962736384876769380e+00 1.714588992290593666e-02
2.818181818181818343e+00 1.773177565859836324e+00 1.618008222440152355e-02
2.838383838383838231e+00 1.620817845089502773e+00 1.535923546700157689e-02
2.858585858585858563e+00 1.459370990338040519e+00 1.447122288487398024e-02
2.878787878787878896e+00 1.320391248685005792e+00 1.366832422736256880e-02
2.898989898989898784e+00 1.163364278377273964e+00 1.274045033045238806e-02
2.919191919191919560e+00 1.080168724309773287e+00 1.219148952916523747e-02
2.939393939393939448e+00 9.785137075867147427e-01 1.152389470744023293e-02
2.959595959595959780e+00 8.918401391299863867e-01 1.092659134146369351e-02
2.979797979797980112e+00 7.954015965029308521e-01 1.024896539502919389e-02
3.000000000000000000e+00 7.323493725299251578e-01 9.768132031672316362e-03
3.020202020202020332e+00 6.322135139192728293e-01 9.015078498713901059e-03
3.040404040404040664e+00 6.068422458159596911e-01 8.773648302582429809e-03
3.060606060606060552e+00 5.537930338068807190e-01 8.326067535681635698e-03
3.080808080808080884e+00 5.154211649567190801e-01 7.979764936292339100e-03
3.101010101010101216e+00 4.523918640041177941e-01 7.427246383794263059e-03
3.121212121212121104e+00 4.378883218236604424e-01 7.259923018883594932e-03
3.141414141414141437e+00 3.940137438171160689e-01 6.842331480974211955e-03
